HOG	OG	Gene Tree Parent Clade	Af	Aq	Ga	GaY	Gw	GwY
N0.HOG0000033	OG0000001	n58	jg31350.t1		rna-XM_040167100.1		GwA_32633-RA, GwA_32634-RA	
N0.HOG0000034	OG0000002	n1	jg4506.t1	ApeQuad01941-RA	rna-XM_040204255.1		GwA_02588-RA	
N0.HOG0000035	OG0000002	n5	jg9612.t1		rna-XM_040201635.1			
N0.HOG0000036	OG0000002	n7	jg7153.t1		rna-XM_040204056.1			
N0.HOG0000037	OG0000002	n9	jg2487.t1, jg2487.t2, jg2487.t3, jg2487.t4		rna-XM_040161294.1		GwA_28623-RA	
N0.HOG0000038	OG0000002	n17	jg9606.t1, jg9606.t2, jg9606.t3		rna-XM_040201483.1			
N0.HOG0000039	OG0000002	n20	jg24717.t1		rna-XM_040197869.1			
N0.HOG0000040	OG0000002	n22	jg27685.t1		rna-XM_040171147.1			
N0.HOG0000041	OG0000002	n25	jg27690.t1	ApeQuad12818-RA, ApeQuad12817-RA				
N0.HOG0000042	OG0000002	n27	jg10410.t1	ApeQuad00148-RA				
N0.HOG0000043	OG0000002	n30	jg6375.t1		rna-XM_040202742.1		GwA_28429-RA	
N0.HOG0000044	OG0000002	n32	jg32564.t1, jg32564.t2		rna-XM_040193303.1		GwA_20292-RA	
N0.HOG0000045	OG0000002	n36	jg18782.t1		rna-XM_040165701.1			
N0.HOG0000046	OG0000002	n39	jg21759.t1		rna-XM_040182188.1			
N0.HOG0000047	OG0000002	n40	jg12613.t1	ApeQuad21163-RA	rna-XM_040179904.1		GwA_10422-RA	
N0.HOG0000048	OG0000002	n45	jg6024.t1, jg6024.t2, jg6024.t3		rna-XM_040204824.1			
N0.HOG0000049	OG0000002	n48	jg32297.t1		rna-XM_040193132.1			
N0.HOG0000050	OG0000002	n51	jg23343.t1		rna-XM_040184019.1			
N0.HOG0000051	OG0000002	n52	jg27799.t1		rna-XM_040171379.1			
N0.HOG0000052	OG0000002	n54	jg27546.t1		rna-XM_040171536.1		GwA_04182-RA	
N0.HOG0000053	OG0000002	n56	jg23138.t2, jg23138.t1, jg23138.t3		rna-XM_040184128.1			
N0.HOG0000054	OG0000003	n1	jg33016.t1	ApeQuad07172-RA	rna-XM_040194088.1		GwA_19869-RA	GwY_00179-RA
N0.HOG0000055	OG0000003	n10	jg33100.t1, jg33168.t1, jg33170.t1					
N0.HOG0000056	OG0000003	n13	jg9145.t1	ApeQuad10904-RA	rna-XM_040201894.1		GwA_25704-RA, GwA_14990-RA, GwA_14992-RA	
N0.HOG0000057	OG0000003	n20	jg30873.t1		rna-XM_040178548.1			
N0.HOG0000058	OG0000003	n23	jg9556.t1		rna-XM_040202103.1		GwA_26207-RA	
N0.HOG0000059	OG0000003	n25	jg12878.t1		rna-XM_040173099.1		GwA_01805-RA	
N0.HOG0000060	OG0000003	n29	jg30874.t1				GwA_09058-RA	
N0.HOG0000061	OG0000003	n31	jg13487.t1		rna-XM_040195099.1		GwA_21404-RA	
N0.HOG0000062	OG0000003	n34	jg9555.t1		rna-XM_040201409.1		GwA_26206-RA	
N0.HOG0000063	OG0000003	n37	jg30872.t1		rna-XM_040178549.1		GwA_09059-RA	
N0.HOG0000064	OG0000003	n39	jg18591.t1		rna-XM_040164607.1		GwA_31900-RA	
N0.HOG0000065	OG0000003	n41	jg33167.t1		rna-XM_040194556.1			
N0.HOG0000066	OG0000003	n42	jg33172.t1	ApeQuad07046-RA, ApeQuad07047-RA	rna-XM_040192260.1, rna-XM_040194552.1, rna-XM_040194557.1		GwA_19728-RA, GwA_19710-RA, GwA_19708-RA, GwA_19712-RA, GwA_19713-RA	GwY_00295-RA, GwY_00315-RA, GwY_00313-RA, GwY_00316-RA, GwY_00314-RA, GwY_00312-RA
N0.HOG0000067	OG0000004	n1	jg28396.t1, jg28412.t1	ApeQuad05770-RA	rna-XM_040163363.1, rna-XM_040163814.1, rna-XM_040163341.1	rna-XM_040168733.1, rna-XM_040169042.1		
N0.HOG0000068	OG0000004	n9			rna-XM_040163014.1	rna-XM_040168340.1		
N0.HOG0000069	OG0000004	n14	jg28380.t1, jg28578.t1, jg28466.t1, jg28444.t1, jg22176.t1, jg28456.t1, jg28450.t1	ApeQuad05755-RA				
N0.HOG0000070	OG0000004	n21	jg26539.t1	ApeQuad05789-RA				
N0.HOG0000071	OG0000004	n31			rna-XM_040163013.1	rna-XM_040168732.1		
N0.HOG0000072	OG0000004	n35		ApeQuad05792-RA		rna-XM_040168728.1		
N0.HOG0000073	OG0000004	n40	jg28375.t1	ApeQuad05709-RA	rna-XM_040163934.1, rna-XM_040163932.1, rna-XM_040162661.1	rna-XM_040168339.1		
N0.HOG0000074	OG0000004	n45	jg28409.t1		rna-XM_040163338.1			
N0.HOG0000075	OG0000004	n46	jg28461.t1	ApeQuad21676-RA	rna-XM_040161674.1			
N0.HOG0000076	OG0000004	n48	jg28404.t1	ApeQuad05791-RA	rna-XM_040161676.1			
N0.HOG0000077	OG0000004	n50		ApeQuad05766-RA	rna-XM_040161677.1			
N0.HOG0000078	OG0000004	n51		ApeQuad06304-RA	rna-XM_040162656.1			
N0.HOG0000079	OG0000005	n1	jg6395.t1	ApeQuad05150-RA	rna-XM_040204476.1		GwA_28002-RA	
N0.HOG0000080	OG0000005	n5	jg6571.t1	ApeQuad04640-RA	rna-XM_040203385.1		GwA_27540-RA	
N0.HOG0000081	OG0000005	n9	jg28912.t1	ApeQuad06129-RA	rna-XM_040161910.1	rna-XM_040168370.1	GwA_30169-RA	
N0.HOG0000082	OG0000005	n15	jg289.t1	ApeQuad15130-RA	rna-XM_040200220.1		GwA_25094-RA, GwA_25093-RA	
N0.HOG0000083	OG0000005	n19	jg2134.t1, jg2135.t1	ApeQuad00380-RA	rna-XM_040159906.1		GwA_29021-RA	
N0.HOG0000084	OG0000005	n25	jg6086.t1		rna-XM_040204347.1		GwA_27094-RA	
N0.HOG0000085	OG0000005	n27	jg33326.t1		rna-XM_040193409.1		GwA_19565-RA	
N0.HOG0000086	OG0000005	n32	jg7022.t1	ApeQuad04990-RA	rna-XM_040203749.1		GwA_28412-RA	
N0.HOG0000087	OG0000005	n35	jg33824.t2, jg33824.t1, jg33823.t1		rna-XM_040194114.1		GwA_19229-RA	
N0.HOG0000088	OG0000005	n40	jg33530.t1		rna-XM_040193770.1		GwA_19366-RA	
N0.HOG0000089	OG0000005	n42	jg5768.t1		rna-XM_040204326.1		GwA_26842-RA	
N0.HOG0000090	OG0000005	n46	jg26177.t1		rna-XM_040174662.1		GwA_06577-RA, GwA_06576-RA	
N0.HOG0000091	OG0000005	n49	jg29606.t1		rna-XM_040163880.1		GwA_30452-RA	
N0.HOG0000092	OG0000006	n4	jg6381.t1		rna-XM_040203431.1		GwA_28437-RA	
N0.HOG0000093	OG0000006	n6	jg32808.t1	ApeQuad07368-RA	rna-XM_040193650.1		GwA_20128-RA	GwY_00623-RA
N0.HOG0000094	OG0000006	n11	jg6388.t1		rna-XM_040204525.1			
N0.HOG0000095	OG0000006	n12	jg6580.t1		rna-XM_040203403.1			
N0.HOG0000096	OG0000006	n15	jg32809.t1		rna-XM_040193835.1			
N0.HOG0000097	OG0000006	n17	jg28826.t1		rna-XM_040164036.1	rna-XM_040168797.1		
N0.HOG0000098	OG0000006	n19	jg26374.t1		rna-XM_040173482.1			
N0.HOG0000099	OG0000006	n25	jg24284.t1		rna-XM_040196840.1		GwA_23289-RA	
N0.HOG0000100	OG0000006	n28	jg13867.t1		rna-XM_040195125.1		GwA_21860-RA	
N0.HOG0000101	OG0000006	n32	jg22924.t1		rna-XM_040184369.1		GwA_13866-RA	
N0.HOG0000102	OG0000006	n34	jg494.t1		rna-XM_040200313.1			
N0.HOG0000103	OG0000006	n37	jg24285.t1		rna-XM_040196839.1			
N0.HOG0000104	OG0000006	n38	jg12352.t1		rna-XM_040182780.1		GwA_10557-RA	
N0.HOG0000105	OG0000006	n40	jg13865.t1		rna-XM_040194861.1		GwA_21859-RA	
N0.HOG0000106	OG0000006	n43	jg28393.t2		rna-XM_040163917.1			
N0.HOG0000107	OG0000006	n44	jg28393.t1, jg4684.t1		rna-XM_040198202.1		GwA_02782-RA	
N0.HOG0000108	OG0000006	n47	jg24573.t1, jg24572.t1		rna-XM_040198436.1		GwA_23590-RA	
N0.HOG0000109	OG0000007	n5	jg28448.t1		rna-XM_040161667.1, rna-XM_040161665.1, rna-XM_040163007.1, rna-XM_040161668.1, rna-XM_040162649.1, rna-XM_040163357.1, rna-XM_040162650.1, rna-XM_040162648.1, rna-XM_040163008.1, rna-XM_040163692.1, rna-XM_040162651.1, rna-XM_040163333.1, rna-XM_040163334.1, rna-XM_040163009.1, rna-XM_040163356.1, rna-XM_040163770.1, rna-XM_040162795.1	rna-XM_040168726.1, rna-XM_040168727.1, rna-XM_040168349.1, rna-XM_040168335.1, rna-XM_040168725.1, rna-XM_040168342.1		
N0.HOG0000110	OG0000007	n30	jg11049.t1		rna-XM_040160716.1			
N0.HOG0000111	OG0000007	n31	jg21003.t1		rna-XM_040182818.1			
N0.HOG0000112	OG0000007	n32	jg26540.t1, jg28402.t1, jg28378.t1, jg28566.t1, jg28453.t1, jg28459.t1, jg28572.t1, jg28406.t1, jg28464.t1, jg28442.t1, jg28446.t1, jg28411.t1, jg22140.t1, jg28372.t1, jg28410.t1, jg28377.t1, jg28458.t1, jg21426.t1		rna-XM_040180613.1			
N0.HOG0000113	OG0000008	n1	jg22949.t1	ApeQuad10045-RA	rna-XM_040184571.1		GwA_13841-RA	
N0.HOG0000114	OG0000008	n8	jg23588.t1		rna-XM_040185272.1			
N0.HOG0000115	OG0000008	n9	jg27494.t1	ApeQuad12967-RA	rna-XM_040170485.1		GwA_04230-RA	
N0.HOG0000116	OG0000008	n13	jg23640.t1	ApeQuad10303-RA	rna-XM_040184342.1		GwA_13056-RA	
N0.HOG0000117	OG0000008	n16	jg400.t1	ApeQuad14927-RA	rna-XM_040200454.1		GwA_24977-RA	
N0.HOG0000118	OG0000008	n21	jg30888.t1	ApeQuad11759-RA	rna-XM_040179227.1		GwA_09037-RA	
N0.HOG0000119	OG0000008	n24	jg11028.t1	ApeQuad00510-RA	rna-XM_040192956.1			
N0.HOG0000120	OG0000008	n28	jg15343.t1	ApeQuad16132-RA				
N0.HOG0000121	OG0000008	n30	jg5173.t1	ApeQuad02192-RA	rna-XM_040160070.1		GwA_03196-RA	
N0.HOG0000122	OG0000008	n33	jg28770.t1	ApeQuad06009-RA	rna-XM_040161684.1	rna-XM_040168080.1	GwA_30009-RA	GwY_01001-RA
N0.HOG0000123	OG0000008	n38	jg11658.t1	ApeQuad21590-RA	rna-XM_040182251.1		GwA_11560-RA	
N0.HOG0000124	OG0000008	n42	jg25001.t1	ApeQuad17805-RA	rna-XM_040198547.1		GwA_23947-RA	
N0.HOG0000125	OG0000008	n45	jg13846.t1	ApeQuad02678-RA	rna-XM_040196176.1		GwA_21843-RA	
N0.HOG0000126	OG0000009	n1	jg28371.t1, jg28460.t1, jg22177.t1		rna-XM_040163927.1	rna-XM_040168334.1		
N0.HOG0000127	OG0000009	n25	jg16966.t1, jg10580.t1		rna-XM_040193055.1			
N0.HOG0000128	OG0000009	n31	jg21075.t1		rna-XM_040177580.1, rna-XM_040175951.1		GwA_00299-RA	
N0.HOG0000129	OG0000009	n34	jg10581.t1		rna-XM_040182126.1			
N0.HOG0000130	OG0000009	n35			rna-XM_040193041.1		GwA_00300-RA	
N0.HOG0000131	OG0000009	n36	jg17733.t1				GwA_11690-RA	
N0.HOG0000132	OG0000009	n37	jg28570.t1		rna-XM_040162816.1			
N0.HOG0000133	OG0000009	n38	jg26538.t1, jg28376.t1, jg28379.t1, jg22178.t1, jg28452.t1, jg28401.t1		rna-XM_040162801.1		GwA_32560-RA	
N0.HOG0000134	OG0000009	n45	jg28457.t1		rna-XM_040161662.1	rna-XM_040168332.1		
N0.HOG0000135	OG0000009	n47	jg28445.t1		rna-XM_040161661.1			
N0.HOG0000136	OG0000010	n0	jg25352.t1, jg25662.t1, g18287.t1, jg8866.t1, jg13381.t1, jg13394.t1, jg8877.t1, jg29993.t1, jg8877.t2, jg7260.t2, jg7260.t1, jg11138.t1, jg11138.t2, jg8867.t1, jg5523.t1, jg8812.t1, jg11140.t1, jg16980.t1, jg7261.t1, jg40.t1, jg25034.t1, jg16979.t1, g26627.t1, jg28216.t2, jg23602.t1, jg23601.t1, jg8852.t1, jg23759.t1, jg4034.t1, jg8811.t1, jg2648.t1, jg32276.t1, g18286.t1, jg11139.t1, g26628.t1, jg11579.t1, jg28152.t1, jg1300.t1, jg4056.t1, jg28216.t1, jg13408.t2, jg13408.t1, jg30945.t1, jg25918.t1, jg31144.t1, jg30946.t1, jg28352.t1, jg7171.t1					
N0.HOG0000137	OG0000011	n0	jg25694.t1, jg7054.t1, jg7065.t1, jg7057.t1, jg7070.t1, jg7067.t1, jg7062.t1, jg7069.t1, jg16881.t1, jg16882.t1, jg16884.t1, jg16887.t1, jg16908.t1, jg16883.t1, jg16886.t1, jg16885.t1, jg16913.t1, jg16911.t1, jg16914.t1, jg16917.t1, jg16909.t1, jg16910.t1, jg16888.t1, jg16889.t1, jg16912.t1, jg16915.t1, jg16916.t1, jg17054.t1, jg17056.t1, jg17060.t1, jg17057.t1, jg17059.t1, jg17062.t1, jg17058.t1, jg17063.t1, jg17055.t1, jg7058.t1, jg7071.t1, jg7056.t1, jg7066.t1, jg7068.t1, jg7061.t1, jg7064.t1, jg7060.t1, jg7055.t1, jg7059.t1, jg7063.t1					
N0.HOG0000138	OG0000012	n1	jg11145.t1	ApeQuad00602-RA	rna-XM_040193130.1		GwA_00854-RA	
N0.HOG0000139	OG0000012	n5	jg11146.t1		rna-XM_040178311.1			
N0.HOG0000140	OG0000012	n8	jg11131.t1		rna-XM_040178707.1			
N0.HOG0000141	OG0000012	n11	jg11132.t1	ApeQuad00595-RA, ApeQuad00596-RA	rna-XM_040192582.1, rna-XM_040192608.1, rna-XM_040191436.1, rna-XM_040191461.1, rna-XM_040191474.1, rna-XM_040192994.1, rna-XM_040191448.1, rna-XM_040192596.1, rna-XM_040193080.1, rna-XM_040192619.1		GwA_00843-RA, GwA_00844-RA	
N0.HOG0000142	OG0000012	n25	jg11135.t1, jg11143.t1, jg11136.t1, jg11137.t1	ApeQuad00600-RA, ApeQuad00601-RA	rna-XM_040193116.1, rna-XM_040193142.1, rna-XM_040193155.1, rna-XM_040193181.1, rna-XM_040190354.1, rna-XM_040190366.1, rna-XM_040190379.1			
N0.HOG0000143	OG0000012	n38	jg4031.t1		rna-XM_040193093.1			
N0.HOG0000144	OG0000012	n39	jg11144.t1, jg11147.t1	ApeQuad00605-RA, ApeQuad00603-RA	rna-XM_040193373.1, rna-XM_040180447.1		GwA_00856-RA, GwA_00855-RA	
N0.HOG0000145	OG0000013	n1	jg33006.t1	ApeQuad07182-RA	rna-XM_040194145.1		GwA_19881-RA	GwY_00169-RA
N0.HOG0000146	OG0000013	n6	jg33007.t1		rna-XM_040194357.1		GwA_19880-RA	GwY_00170-RA
N0.HOG0000147	OG0000013	n10	jg2490.t1	ApeQuad18117-RA	rna-XM_040161238.1		GwA_28617-RA	
N0.HOG0000148	OG0000013	n16	jg32390.t1	ApeQuad07731-RA	rna-XM_040192454.1			
N0.HOG0000149	OG0000013	n18	jg28081.t1, jg28081.t2	ApeQuad12525-RA	rna-XM_040170406.1		GwA_03627-RA	
N0.HOG0000150	OG0000013	n22	jg2016.t1	ApeQuad18501-RA	rna-XM_040161265.1, rna-XM_040200309.1		GwA_29122-RA	
N0.HOG0000151	OG0000013	n28	jg20349.t1	ApeQuad16741-RA	rna-XM_040188018.1			
N0.HOG0000152	OG0000013	n31	jg449.t1	ApeQuad14880-RA	rna-XM_040199520.1			
N0.HOG0000153	OG0000013	n33	jg2504.t1	ApeQuad18126-RA	rna-XM_040160292.1			
N0.HOG0000154	OG0000013	n37	jg33147.t1	ApeQuad07065-RA	rna-XM_040192253.1			
N0.HOG0000155	OG0000013	n39	jg6159.t1		rna-XM_040203718.1			
N0.HOG0000156	OG0000013	n40	jg31767.t1	ApeQuad13143-RA, ApeQuad19251-RA	rna-XM_040172292.1, rna-XM_040167032.1		GwA_04457-RA	
N0.HOG0000157	OG0000014	n0	jg28443.t1, jg28454.t1, jg28577.t1, jg28382.t1, jg28447.t1, jg28568.t1, jg28403.t1, jg28468.t1, jg28463.t1, jg28373.t1, jg28398.t1, jg28407.t1	ApeQuad06306-RA, ApeQuad06305-RA, ApeQuad05707-RA, ApeQuad05788-RA, ApeQuad21677-RA, ApeQuad21639-RA, ApeQuad05708-RA, ApeQuad05771-RA, ApeQuad05765-RA, ApeQuad05767-RA, ApeQuad05656-RA, ApeQuad05795-RA	rna-XM_040163004.1, rna-XM_040162659.1, rna-XM_040162794.1, rna-XM_040163339.1, rna-XM_040163776.1, rna-XM_040163362.1, rna-XM_040161652.1, rna-XM_040161678.1, rna-XM_040163355.1, rna-XM_040163340.1, rna-XM_040163002.1, rna-XM_040163003.1, rna-XM_040163690.1, rna-XM_040162645.1, rna-XM_040161807.1, rna-XM_040163918.1, rna-XM_040163919.1	rna-XM_040168722.1, rna-XM_040169038.1, rna-XM_040168328.1, rna-XM_040168721.1	GwA_02067-RA	
N0.HOG0000158	OG0000015	n1	jg28374.t1, jg28576.t1, jg28413.t1, jg28381.t1, jg28384.t1, jg28467.t1, jg28569.t1, jg28462.t1, jg28449.t1, jg28399.t1, jg28455.t1, jg28408.t1, jg28397.t1, jg28383.t1, jg28573.t1		rna-XM_040163011.1, rna-XM_040162655.1, rna-XM_040163929.1, rna-XM_040163931.1, rna-XM_040163358.1	rna-XM_040168731.1		
N0.HOG0000159	OG0000015	n21	jg27162.t1		rna-XM_040161806.1, rna-XM_040163360.1, rna-XM_040162652.1, rna-XM_040161671.1, rna-XM_040163337.1, rna-XM_040163693.1, rna-XM_040163359.1, rna-XM_040163777.1, rna-XM_040161669.1, rna-XM_040162653.1, rna-XM_040163012.1, rna-XM_040161672.1, rna-XM_040161854.1, rna-XM_040163336.1, rna-XM_040161670.1, rna-XM_040171586.1	rna-XM_040168344.1, rna-XM_040168337.1, rna-XM_040168338.1, rna-XM_040169039.1, rna-XM_040168729.1, rna-XM_040168336.1, rna-XM_040168946.1		
N0.HOG0000160	OG0000016	n1	jg32360.t1		rna-XM_040192676.1			
N0.HOG0000161	OG0000016	n2	jg14.t1, jg8848.t1, jg8781.t1, jg24899.t1, jg20950.t1, jg14203.t1, jg8859.t1, jg28115.t1, jg2620.t1, jg4119.t1, jg11834.t1, jg23724.t1, jg17019.t1, jg18093.t1, jg32358.t1, jg32359.t1, jg8878.t1, jg28180.t1, jg16593.t1, jg28775.t1, jg30205.t1, jg11581.t1, jg23727.t1, jg28305.t1, jg3950.t1, jg25907.t1, jg10789.t1, jg32604.t1, jg11580.t1, jg20984.t1, jg20983.t1, jg19.t1, jg16546.t1, jg23631.t1, jg17018.t1, jg4015.t1, jg16918.t1, jg13443.t1, jg20925.t1, jg23735.t1		rna-XM_040179944.1		GwA_01762-RA	
N0.HOG0000162	OG0000017	n1	jg19838.t1	ApeQuad17032-RA	rna-XM_040188878.1		GwA_17280-RA	
N0.HOG0000163	OG0000017	n5	jg18552.t1	ApeQuad09285-RA	rna-XM_040166438.1		GwA_31945-RA	
N0.HOG0000164	OG0000017	n11	jg18189.t1	ApeQuad09391-RA	rna-XM_040164273.1		GwA_32338-RA	
N0.HOG0000165	OG0000017	n16	jg17759.t1	ApeQuad20134-RA	rna-XM_040176870.1		GwA_08381-RA	
N0.HOG0000166	OG0000017	n19	jg15683.t1	ApeQuad15636-RA	rna-XM_040190454.1			
N0.HOG0000167	OG0000017	n22	jg29504.t1	ApeQuad06568-RA	rna-XM_040162692.1		GwA_30386-RA	
N0.HOG0000168	OG0000017	n26	jg32817.t1	ApeQuad07354-RA	rna-XM_040193233.1			GwY_00610-RA
N0.HOG0000169	OG0000017	n29	jg6547.t1	ApeQuad04617-RA	rna-XM_040204799.1			
N0.HOG0000170	OG0000017	n35	jg20169.t1		rna-XM_040189628.1			
N0.HOG0000171	OG0000017	n36	jg20168.t1		rna-XM_040187818.1, rna-XM_040187753.1			
N0.HOG0000172	OG0000017	n38			rna-XM_040189709.1		GwA_17106-RA	
N0.HOG0000173	OG0000018	n1	jg18916.t1	ApeQuad08992-RA	rna-XM_040165404.1		GwA_31517-RA	
N0.HOG0000174	OG0000018	n5	jg4942.t1		rna-XM_040165592.1		GwA_03035-RA	
N0.HOG0000175	OG0000018	n9	jg3428.t1		rna-XM_040175445.1		GwA_05611-RA	
N0.HOG0000176	OG0000018	n11	jg8201.t1		rna-XM_040186965.1			
N0.HOG0000177	OG0000018	n15	jg9385.t1		rna-XM_040202109.1			
N0.HOG0000178	OG0000018	n16	jg30127.t1		rna-XM_040178747.1			
N0.HOG0000179	OG0000018	n21	jg3425.t1		rna-XM_040172663.1			
N0.HOG0000180	OG0000018	n22	jg8199.t1		rna-XM_040186608.1			
N0.HOG0000181	OG0000018	n23	jg4945.t1		rna-XM_040201516.1		GwA_03037-RA	
N0.HOG0000182	OG0000018	n27	jg3426.t1, jg3427.t1	ApeQuad08160-RA	rna-XM_040172658.1			
N0.HOG0000183	OG0000018	n30	jg8200.t1	ApeQuad03962-RA	rna-XM_040187374.1			
N0.HOG0000184	OG0000018	n32	jg4943.t1		rna-XM_040165566.1			
N0.HOG0000185	OG0000018	n34	jg2031.t1		rna-XM_040160674.1			
N0.HOG0000186	OG0000018	n35	jg12872.t1, jg12871.t1		rna-XM_040173047.1			
N0.HOG0000187	OG0000019	n1	jg27017.t1, jg27018.t1, jg27019.t1	ApeQuad13312-RA, ApeQuad13314-RA	rna-XM_040170851.1		GwA_04698-RA, GwA_04700-RA	
N0.HOG0000188	OG0000019	n9	jg10658.t1		rna-XM_040171503.1, rna-XM_040192632.1		GwA_00384-RA	
N0.HOG0000189	OG0000019	n13		ApeQuad01076-RA	rna-XM_040177498.1			
N0.HOG0000190	OG0000019	n16	jg6422.t1		rna-XM_040203283.1		GwA_27388-RA	
N0.HOG0000191	OG0000019	n19	jg33518.t1	ApeQuad05384-RA	rna-XM_040204967.1, rna-XM_040193798.1		GwA_26882-RA, GwA_19382-RA	
N0.HOG0000192	OG0000019	n25	jg29346.t1		rna-XM_040173195.1, rna-XM_040163585.1		GwA_06381-RA	
N0.HOG0000193	OG0000019	n28	jg6287.t1	ApeQuad05243-RA	rna-XM_040203880.1		GwA_27276-RA	
N0.HOG0000194	OG0000019	n31	jg21835.t1		rna-XM_040203445.1, rna-XM_040203448.1, rna-XM_040181082.1		GwA_27409-RA, GwA_27410-RA, GwA_12598-RA	
N0.HOG0000195	OG0000020	n1	jg9445.t1	ApeQuad11339-RA	rna-XM_040202205.1		GwA_26102-RA	
N0.HOG0000196	OG0000020	n7	jg6654.t1, jg6651.t1	ApeQuad04705-RA, ApeQuad04704-RA	rna-XM_040202789.1		GwA_27618-RA	
N0.HOG0000197	OG0000020	n12	jg32849.t1	ApeQuad07327-RA	rna-XM_040192878.1		GwA_20067-RA, GwA_20068-RA, GwA_20069-RA	GwY_00576-RA
N0.HOG0000198	OG0000020	n20	jg32143.t1	ApeQuad19438-RA				
N0.HOG0000199	OG0000020	n21	jg27981.t1	ApeQuad12589-RA	rna-XM_040172152.1		GwA_03877-RA	
N0.HOG0000200	OG0000020	n25	jg17195.t1	ApeQuad19675-RA	rna-XM_040177086.1		GwA_07795-RA	
N0.HOG0000201	OG0000020	n28	jg15044.t1	ApeQuad16267-RA	rna-XM_040191319.1		GwA_19191-RA	
N0.HOG0000202	OG0000020	n31	jg13316.t1, jg13315.t1, jg13317.t1	ApeQuad01003-RA	rna-XM_040190974.1		GwA_01726-RA	
N0.HOG0000203	OG0000021	n1	jg32508.t1, jg32508.t2	ApeQuad07613-RA	rna-XM_040193427.1		GwA_20817-RA	GwY_00456-RA
