## Genes which are present on the Gw_X but absent from the Gw_Y
## The 'GaX?' column denotes whether there is an ortholog on the GaX or not
#
X_gene	CHROM	X_START	X_STOP	GaX?
g11257.t1	chr19	21947078	21953861	Present
g10724.t1	chr19	13038769	13088102	Present
g10723.t1	chr19	13038769	13052435	Absent
g10729.t1	chr19	13293650	13330221	Present
g10681.t1	chr19	12302907	12313557	Present
g10553.t1	chr19	9498848	9519792	Present
g10552.t1	chr19	9488183	9493994	Present
g10365.t1	chr19	4043037	4049797	Present
g10594.t1	chr19	10553130	10564632	Present
g11229.t1	chr19	21268464	21273953	Present
g10527.t1	chr19	8841074	8860180	Present
g10721.t1	chr19	12985369	12990861	Present
g11146.t1	chr19	20204295	20213195	Absent
g11148.t1	chr19	20222393	20243963	Absent
g10970.t1	chr19	17964287	17966675	Present
g10969.t1	chr19	17958512	17960294	Present
g10971.t1	chr19	17970166	17974455	Present
g4526.t1	chr12	20762981	20764345	Absent
g4598.t1	chr12	23166607	23168091	Absent
g11244.t1	chr19	21397205	21409068	Present
g11193.t1	chr19	20813198	20822114	Present
g3920.t2	chr12	7305222	7352508	Absent
g10509.t1	chr19	8531645	8539090	Present
g11216.t3	chr19	21120267	21131877	Present
g10807.t1	chr19	14851573	14919377	Absent
g11196.t1	chr19	20909397	20919122	Present
g10694.t1	chr19	12536353	12544839	Present
g10652.t1	chr19	11961895	11963931	Present
g10653.t1	chr19	11978907	11981070	Present
g10411.t3	chr19	5495586	5535333	Present
g10761.t1	chr19	13702381	13705139	Present
g10644.t2	chr19	11860117	11898368	Present
g10349.t1	chr19	3318501	3363664	Absent
g10520.t1	chr19	8630731	8679795	Present
g10895.t1	chr19	16754472	16781244	Present
g10990.t2	chr19	18230133	18237805	Present
g11144.t1	chr19	20184899	20190345	Present
g10268.t1	chr19	193918	201611	Present
g10273.t1	chr19	766610	792786	Present
g10277.t1	chr19	1104344	1106901	Present
g11005.t1	chr19	18435743	18457862	Present
g11057.t1	chr19	19196819	19204552	Present
g10942.t3	chr19	17536148	17604429	Absent
g4332.t4	chr12	15166164	15248760	Absent
g10839.t1	chr19	15538325	15544842	Absent
g10498.t1	chr19	8301752	8340976	Present
g10398.t1	chr19	5021403	5037105	Present
g11036.t1	chr19	18859294	18889133	Present
g10741.t2	chr19	13454316	13461565	Present
g11131.t2	chr19	20036283	20061317	Present
g10569.t1	chr19	9802724	9805022	Present
g10677.t1	chr19	12250097	12252943	Present
g10539.t2	chr19	9280340	9289881	Present
g10420.t1	chr19	5711292	5747025	Present
g10350.t1	chr19	3389084	3393611	Absent
g11100.t1	chr19	19740386	19758840	Present
g11093.t1	chr19	19681339	19696047	Present
g10406.t1	chr19	5273991	5279064	Present
g11049.t2	chr19	19087661	19115261	Present
g10275.t1	chr19	900989	908638	Absent
g4485.t1	chr12	19531420	19542634	Absent
g10425.t1	chr19	5908534	5924822	Present
g10798.t1	chr19	14725773	14732854	Present
g3822.t1	chr12	6370085	6402041	Absent
g10837.t2	chr19	15522730	15528964	Present
g10617.t1	chr19	11429937	11443181	Present
g11224.t1	chr19	21237172	21243709	Present
g10879.t2	chr19	16312858	16347849	Present
g10654.t1	chr19	11984980	12006831	Present
g10655.t1	chr19	11993131	12006831	Present
g11225.t1	chr19	21253773	21258484	Present
g11172.t1	chr19	20476462	20496241	Present
g10722.t1	chr19	13017557	13033916	Present
g10532.t4	chr19	9125808	9156228	Absent
g10573.t4	chr19	9814653	9871422	Present
g10416.t1	chr19	5605877	5624383	Absent
g11137.t1	chr19	20106340	20122751	Present
g11161.t1	chr19	20348526	20425845	Present
g11078.t1	chr19	19477842	19526585	Present
g10623.t1	chr19	11468686	11475347	Present
g10684.t1	chr19	12385195	12444483	Present
g10351.t1	chr19	3421878	3537970	Present
g11051.t1	chr19	19135063	19141088	Present
g11018.t1	chr19	18535869	18582896	Absent
g11042.t3	chr19	18937064	19020762	Present
g11015.t1	chr19	18526214	18531558	Present
g11031.t2	chr19	18792327	18816205	Present
g10587.t1	chr19	10228399	10248338	Present
g10598.t1	chr19	10601941	10621345	Present
g11190.t2	chr19	20798736	20803962	Present
g10499.t1	chr19	8362381	8384834	Present
g10695.t1	chr19	12563723	12565749	Present
g10696.t1	chr19	12568003	12570172	Present
g10693.t1	chr19	12533550	12549197	Present
g10861.t1	chr19	16088889	16099318	Present
g11267.t1	chr19	22194166	22276280	Absent
g10954.t1	chr19	17782070	17807467	Absent
g11017.t1	chr19	18535869	18582896	Present
g10455.t1	chr19	7235077	7246919	Absent
g4113.t1	chr12	11128243	11131691	Absent
g4382.t1	chr12	16242361	16251864	Absent
g10646.t2	chr19	11899078	11916802	Present
g10816.t1	chr19	15211679	15243140	Present
g10479.t1	chr19	7578706	7590291	Present
g10514.t1	chr19	8558683	8568611	Present
g10920.t1	chr19	17215712	17225084	Present
g11293.t3	chr19	22867857	22877643	Present
g10656.t1	chr19	12007414	12015521	Absent
g10747.t1	chr19	13506643	13513430	Present
g10525.t1	chr19	8719813	8793279	Present
g10507.t1	chr19	8488458	8493937	Present
g10493.t1	chr19	7767146	7784877	Present
g10983.t1	chr19	18109327	18131410	Present
g11213.t2	chr19	21075528	21093277	Present
g10312.t1	chr19	2190070	2203531	Absent
g10957.t1	chr19	17827574	17837894	Present
g11033.t2	chr19	18836335	18845760	Present
g10556.t1	chr19	9662291	9686698	Absent
g10775.t1	chr19	14342782	14367813	Present
g10992.t1	chr19	18260408	18274030	Present
g10858.t1	chr19	16039477	16053939	Present
g11081.t1	chr19	19599865	19603996	Absent
g10888.t1	chr19	16609791	16629814	Present
g11111.t1	chr19	19862908	19882388	Present
g11113.t1	chr19	19884341	19887915	Present
g10430.t1	chr19	6229515	6243986	Present
g10615.t1	chr19	11369562	11428883	Present
g10291.t1	chr19	1636058	1655400	Present
g11092.t1	chr19	19675265	19680722	Present
g11053.t1	chr19	19169581	19177068	Present
g11054.t1	chr19	19173956	19180022	Present
g11179.t3	chr19	20515181	20525887	Present
g11202.t1	chr19	20971801	20975401	Present
g11259.t1	chr19	21992259	22061759	Present
g10610.t1	chr19	11105082	11148496	Absent
g11168.t1	chr19	20462929	20467792	Present
g10325.t1	chr19	2894113	2916902	Present
g11032.t1	chr19	18829194	18834666	Present
g10755.t1	chr19	13607480	13632486	Present
g10822.t1	chr19	15305155	15311993	Present
g11195.t1	chr19	20892200	20913733	Present
g10811.t1	chr19	15114541	15126731	Present
g10812.t1	chr19	15153909	15158262	Present
g10305.t1	chr19	1894432	1895865	Present
g10354.t2	chr19	3801929	3806337	Absent
g10474.t1	chr19	7544395	7551776	Present
g10609.t1	chr19	10920207	10925755	Present
g10608.t1	chr19	10894765	10917641	Present
g10725.t7	chr19	13093259	13140600	Present
g10759.t1	chr19	13668020	13686514	Present
g10823.t1	chr19	15312014	15321959	Absent
g11084.t1	chr19	19623450	19629992	Absent
g10887.t1	chr19	16479197	16562658	Present
g10874.t1	chr19	16204339	16230812	Present
g4374.t1	chr12	16163174	16176127	Absent
g10575.t1	chr19	9941301	9953286	Present
g10911.t2	chr19	17130567	17142105	Present
g11290.t1	chr19	22819807	22822560	Present
g10938.t1	chr19	17516264	17521191	Present
g4391.t1	chr12	16581605	16582636	Absent
g10977.t1	chr19	18026853	18038881	Present
g10870.t1	chr19	16162708	16176244	Absent
g10872.t1	chr19	16188059	16203545	Present
g10386.t1	chr19	4619710	4767119	Present
g10782.t1	chr19	14462452	14502164	Present
g11181.t1	chr19	20635019	20640371	Present
g11020.t1	chr19	18588819	18608670	Absent
g10407.t11	chr19	5343768	5386653	Present
g10428.t1	chr19	5965860	6101866	Absent
g10356.t1	chr19	3822904	3840815	Absent
g10543.t1	chr19	9337321	9344434	Present
g10661.t1	chr19	12115577	12119254	Present
g11129.t1	chr19	20025622	20029849	Absent
g11079.t1	chr19	19532522	19549983	Present
g10947.t1	chr19	17728127	17753089	Present
g10963.t1	chr19	17874437	17878036	Present
g10996.t1	chr19	18320449	18335524	Present
g10997.t1	chr19	18336171	18347125	Present
g10576.t2	chr19	9973673	9980440	Present
g10995.t1	chr19	18279291	18291563	Present
g4565.t1	chr12	21344282	21346858	Absent
g4208.t1	chr12	12443378	12443672	Absent
g4209.t1	chr12	12444702	12448984	Absent
g11064.t2	chr19	19298204	19302917	Absent
g11230.t1	chr19	21275721	21280048	Present
g11227.t1	chr19	21264364	21266763	Present
g10293.t1	chr19	1686102	1702653	Present
g10799.t1	chr19	14730552	14740407	Absent
g10298.t1	chr19	1771671	1827932	Present
g10362.t2	chr19	4015268	4017102	Present
g10366.t1	chr19	4056766	4080858	Present
g10367.t2	chr19	4080844	4089079	Present
g10339.t1	chr19	3151563	3196171	Present
g10307.t1	chr19	2008911	2095782	Present
g10467.t1	chr19	7480382	7488981	Present
g10472.t1	chr19	7512611	7521150	Present
g10483.t1	chr19	7630509	7645756	Present
g10505.t1	chr19	8477754	8482276	Present
g10534.t3	chr19	9160680	9226625	Present
g10549.t1	chr19	9461271	9481987	Present
g10565.t1	chr19	9782823	9791228	Present
g10605.t1	chr19	10830983	10847591	Present
g10627.t1	chr19	11503507	11538628	Present
g10630.t2	chr19	11530592	11573790	Present
g10634.t1	chr19	11732054	11737251	Present
g10658.t1	chr19	12033097	12040964	Present
g10710.t1	chr19	12794086	12799659	Present
g10731.t1	chr19	13357561	13363620	Present
g10746.t3	chr19	13481344	13507670	Present
g10754.t1	chr19	13568450	13638856	Present
g10780.t1	chr19	14417059	14454980	Present
g10781.t1	chr19	14453904	14461917	Present
g10801.t1	chr19	14741224	14792572	Present
g11163.t1	chr19	20418930	20425845	Present
g11156.t1	chr19	20299855	20312803	Present
g11103.t1	chr19	19759790	19772069	Present
g11247.t4	chr19	21432146	21493833	Present
g11262.t1	chr19	22076461	22085540	Present
g11043.t1	chr19	19020848	19027785	Present
g11044.t1	chr19	19023555	19027785	Present
g11067.t2	chr19	19305136	19312360	Present
g10906.t1	chr19	16989310	17015448	Absent
g10908.t1	chr19	17045556	17091419	Present
g10973.t1	chr19	17987027	17992101	Present
g10338.t1	chr19	3134920	3136815	Present
g10791.t1	chr19	14674972	14680758	Present
g4574.t1	chr12	21830967	21831785	Absent
g4375.t1	chr12	16163174	16176127	Absent
g10276.t2	chr19	1092907	1098062	Absent
g4258.t1	chr12	13598589	13601425	Absent
g10793.t1	chr19	14683742	14693258	Present
g4386.t1	chr12	16295905	16330105	Absent
g4307.t1	chr12	14669135	14670198	Absent
g11263.t1	chr19	22091968	22109856	Present
g10838.t1	chr19	15509254	15513134	Absent
g11243.t1	chr19	21396825	21401128	Present
g10640.t1	chr19	11821114	11825986	Absent
g10405.t1	chr19	5175235	5215503	Present
g4582.t1	chr12	22416584	22424766	Absent
g4583.t1	chr12	22480834	22490380	Absent
g10578.t1	chr19	10024081	10035894	Absent
g10269.t1	chr19	276097	282791	Absent
g10863.t1	chr19	16099341	16115342	Present
g10687.t1	chr19	12501698	12505879	Absent
g10857.t1	chr19	15998769	16029060	Present
g10279.t1	chr19	1257073	1280493	Present
g10363.t1	chr19	4018378	4027252	Present
g10368.t2	chr19	4099717	4121646	Present
g10337.t1	chr19	3117063	3130451	Present
g10340.t1	chr19	3197419	3203020	Present
g10341.t1	chr19	3203049	3208828	Present
g10308.t1	chr19	2017467	2023522	Present
g10459.t1	chr19	7273790	7285319	Present
g10461.t1	chr19	7291320	7304978	Present
g10462.t1	chr19	7305699	7331431	Present
g10464.t1	chr19	7453310	7465868	Present
g10438.t1	chr19	6502948	6513845	Present
g10424.t1	chr19	5802637	6038428	Present
g10417.t1	chr19	5627268	5639162	Present
g10404.t1	chr19	5146628	5169199	Present
g10399.t1	chr19	5049708	5071699	Present
g10388.t1	chr19	4794494	4809324	Present
g10357.t1	chr19	3862936	3877245	Present
g10355.t1	chr19	3795858	3819519	Present
g10352.t3	chr19	3680163	3768857	Present
g10317.t1	chr19	2611638	2616984	Present
g10319.t1	chr19	2708607	2729446	Present
g10481.t1	chr19	7590955	7626205	Present
g10485.t3	chr19	7671823	7677210	Present
g10488.t1	chr19	7702988	7713253	Present
g10492.t1	chr19	7757535	7763162	Present
g10495.t2	chr19	8258060	8266041	Present
g10501.t1	chr19	8414956	8424706	Present
g10502.t1	chr19	8435499	8446477	Present
g10503.t1	chr19	8447148	8452532	Present
g10504.t1	chr19	8456963	8457236	Present
g10506.t1	chr19	8486375	8489845	Present
g10529.t1	chr19	9040398	9052424	Present
g10535.t3	chr19	9268078	9272204	Present
g10536.t1	chr19	9273320	9278355	Present
g10544.t3	chr19	9363920	9365990	Present
g10545.t1	chr19	9391558	9394089	Present
g10557.t1	chr19	9688492	9695011	Present
g10558.t1	chr19	9695073	9697856	Present
g10559.t1	chr19	9698457	9701688	Present
g10560.t1	chr19	9698457	9704676	Present
g10568.t1	chr19	9799475	9805226	Present
g10579.t1	chr19	10043095	10044182	Present
g10584.t1	chr19	10156279	10183840	Present
g10585.t1	chr19	10189314	10248338	Present
g10588.t1	chr19	10248377	10258528	Present
g10589.t1	chr19	10248377	10258528	Present
g10590.t1	chr19	10259313	10267736	Present
g10591.t1	chr19	10277360	10378908	Present
g10597.t1	chr19	10583133	10591326	Present
g10602.t1	chr19	10693629	10750278	Present
g10603.t1	chr19	10766421	10798039	Present
g10607.t1	chr19	10877787	10917641	Present
g10611.t1	chr19	11341171	11343946	Present
g10614.t1	chr19	11364478	11373709	Present
g10622.t1	chr19	11464576	11475347	Present
g10625.t1	chr19	11494198	11498641	Present
g10641.t1	chr19	11826684	11829545	Present
g10651.t1	chr19	11951969	11957192	Present
g10662.t1	chr19	12119456	12121728	Present
g10665.t1	chr19	12145389	12149603	Present
g10669.t1	chr19	12161929	12165723	Present
g10673.t1	chr19	12186747	12200348	Present
g10672.t1	chr19	12186747	12199022	Present
g10675.t1	chr19	12202519	12209075	Present
g10678.t1	chr19	12264369	12299019	Present
g10685.t1	chr19	12482482	12489662	Present
g10688.t1	chr19	12506824	12511245	Present
g10699.t1	chr19	12593360	12601141	Present
g10701.t1	chr19	12726726	12746775	Present
g10702.t2	chr19	12749166	12752385	Present
g10708.t1	chr19	12777905	12780461	Present
g10709.t1	chr19	12781814	12793830	Present
g10711.t1	chr19	12794086	12800705	Present
g10717.t1	chr19	12884036	12887164	Present
g10718.t1	chr19	12887342	12894221	Present
g10726.t2	chr19	13151519	13170873	Present
g10728.t1	chr19	13231868	13257684	Present
g10732.t1	chr19	13366041	13368897	Present
g10737.t1	chr19	13411859	13420112	Present
g10742.t1	chr19	13452196	13468959	Present
g10745.t1	chr19	13481344	13507670	Present
g10749.t1	chr19	13513433	13530316	Present
g10750.t1	chr19	13533121	13540102	Present
g10751.t2	chr19	13537875	13575836	Present
g10752.t1	chr19	13545536	13555136	Present
g10758.t1	chr19	13660468	13666807	Present
g10764.t1	chr19	13777395	13785466	Present
g10773.t1	chr19	14323669	14334835	Present
g10779.t1	chr19	14413923	14436650	Present
g10785.t1	chr19	14548454	14553535	Present
g10789.t1	chr19	14654049	14661831	Present
g10790.t1	chr19	14663524	14674874	Present
g10800.t3	chr19	14738403	14741438	Present
g10803.t1	chr19	14799039	14812756	Present
g10808.t1	chr19	14921263	14923120	Present
g10813.t1	chr19	15183326	15194843	Present
g10825.t1	chr19	15324152	15328325	Present
g10826.t2	chr19	15330780	15341153	Present
g10828.t1	chr19	15359647	15374055	Present
g11192.t1	chr19	20808397	20820523	Present
g11175.t1	chr19	20498654	20505585	Present
g11142.t1	chr19	20155240	20183440	Present
g11143.t1	chr19	20164122	20180482	Present
g10524.t1	chr19	8703066	8703961	Present
g11110.t1	chr19	19862908	19882388	Present
g11097.t1	chr19	19717860	19731094	Present
g10847.t3	chr19	15757991	15884335	Present
g11226.t1	chr19	21258742	21262851	Present
g11231.t1	chr19	21304351	21306163	Present
g11242.t1	chr19	21383580	21396565	Present
g11252.t1	chr19	21678603	21696631	Present
g11256.t1	chr19	21941028	21947046	Present
g11258.t2	chr19	21964753	21982826	Present
g11261.t1	chr19	22072797	22074074	Present
g11270.t3	chr19	22365087	22375929	Present
g11272.t1	chr19	22376406	22389144	Present
g11283.t1	chr19	22628475	22630298	Present
g11299.t1	chr19	22974303	22984301	Present
g11300.t1	chr19	22986909	22997003	Present
g11308.t1	chr19	23161820	23171449	Present
g11029.t1	chr19	18766631	18770809	Present
g11034.t1	chr19	18844262	18858266	Present
g11039.t2	chr19	18902672	18907811	Present
g11041.t1	chr19	18919484	18928705	Present
g11052.t3	chr19	19145461	19165820	Present
g11075.t1	chr19	19365406	19368965	Present
g11080.t1	chr19	19563331	19595882	Present
g10875.t1	chr19	16239509	16246106	Present
g10876.t1	chr19	16246600	16263573	Present
g10883.t1	chr19	16397532	16428417	Present
g10894.t1	chr19	16716702	16737314	Present
g10916.t1	chr19	17187108	17192357	Present
g10917.t1	chr19	17189760	17200857	Present
g10933.t1	chr19	17467755	17471862	Present
g10941.t1	chr19	17528285	17534028	Present
g10945.t1	chr19	17629774	17677050	Present
g10946.t1	chr19	17691000	17708071	Present
g11024.t2	chr19	18631265	18653794	Present
g10989.t2	chr19	18216565	18228941	Present
g10988.t1	chr19	18195474	18216071	Present
g11138.t1	chr19	20125277	20133984	Absent
g10566.t1	chr19	9788884	9792782	Present
g10408.t1	chr19	5402858	5409399	Absent
g10797.t1	chr19	14721805	14723070	Present
g10814.t1	chr19	15195244	15197042	Present
g11159.t1	chr19	20332191	20345445	Present
g10330.t1	chr19	3048194	3049461	Absent
g4311.t1	chr12	14691363	14693030	Absent
g4527.t1	chr12	20782177	20784109	Absent
g4528.t1	chr12	20821045	20822940	Absent
g4540.t1	chr12	21002610	21021926	Absent
g4569.t1	chr12	21409094	21423231	Absent
g4313.t1	chr12	14731926	14770317	Absent
g4334.t1	chr12	15315160	15319319	Absent
g4354.t1	chr12	15779397	15782070	Absent
g4361.t1	chr12	16000628	16009430	Absent
g4362.t3	chr12	16010274	16014048	Absent
g4363.t1	chr12	16013236	16026875	Absent
g4368.t1	chr12	16097858	16105371	Absent
g4369.t3	chr12	16107376	16113621	Absent
g4371.t4	chr12	16140430	16151102	Absent
g4373.t1	chr12	16157821	16162809	Absent
g4377.t2	chr12	16209012	16242357	Absent
g4378.t1	chr12	16230909	16242357	Absent
g4381.t1	chr12	16242361	16251864	Absent
g4309.t1	chr12	14679263	14686374	Absent
g4308.t1	chr12	14672340	14676366	Absent
g4306.t1	chr12	14664876	14665461	Absent
g4279.t1	chr12	13916378	13920508	Absent
g4155.t1	chr12	11768492	11776614	Absent
g4095.t1	chr12	10825278	10827649	Absent
g3939.t1	chr12	7682627	7719109	Absent
g10458.t1	chr19	7265513	7271583	Present
g10456.t1	chr19	7249980	7256854	Absent
g10958.t2	chr19	17834053	17866514	Absent
g10385.t1	chr19	4589678	4605002	Present
g10302.t1	chr19	1880443	1887013	Present
g10301.t1	chr19	1873527	1873949	Present
g10300.t1	chr19	1859316	1872976	Present
g10292.t1	chr19	1676897	1685416	Present
g10290.t1	chr19	1610851	1618306	Present
g10286.t1	chr19	1415863	1436366	Present
g10282.t1	chr19	1333133	1356300	Present
g10283.t1	chr19	1333927	1343219	Present
g10364.t1	chr19	4026224	4030511	Present
g10369.t1	chr19	4124934	4135240	Present
g10380.t1	chr19	4443774	4465813	Present
g10379.t1	chr19	4435143	4440808	Present
g10378.t3	chr19	4417102	4433080	Present
g10377.t1	chr19	4406692	4417340	Present
g10376.t2	chr19	4398820	4404560	Present
g10375.t1	chr19	4392085	4400667	Present
g10374.t1	chr19	4332494	4388098	Present
g10373.t1	chr19	4332494	4388098	Present
g10372.t1	chr19	4254243	4322069	Present
g10370.t1	chr19	4180915	4183067	Present
g10410.t2	chr19	5474386	5484379	Present
g10413.t2	chr19	5568846	5580124	Present
g10415.t1	chr19	5581203	6081404	Present
g10323.t1	chr19	2840063	2890203	Present
g10324.t1	chr19	2890649	2909077	Present
g10326.t1	chr19	2915654	2921498	Present
g10327.t1	chr19	2925977	2941626	Present
g10328.t1	chr19	2944545	3008052	Present
g10329.t1	chr19	3008269	3044579	Present
g10332.t1	chr19	3070023	3080828	Present
g10334.t1	chr19	3081056	3088683	Present
g10335.t1	chr19	3096573	3099014	Present
g10336.t1	chr19	3101757	3123702	Present
g4310.t1	chr12	14690535	14709893	Present
g10342.t1	chr19	3206889	3218833	Present
g10343.t1	chr19	3218863	3234644	Present
g10345.t1	chr19	3279968	3284124	Present
g10460.t2	chr19	7285879	7291279	Present
g10440.t1	chr19	6540654	6543680	Present
g10441.t1	chr19	6540654	6560130	Present
g10442.t1	chr19	6558652	6565241	Present
g10444.t1	chr19	6656150	6681390	Present
g10445.t1	chr19	6681887	6699642	Present
g10450.t1	chr19	7144272	7154228	Present
g10452.t1	chr19	7179409	7182421	Present
g10431.t1	chr19	6278574	6290595	Present
g10427.t2	chr19	5949188	5959792	Present
g10421.t1	chr19	5747053	5755823	Present
g10394.t1	chr19	4964593	4991701	Present
g10392.t1	chr19	4964593	4976949	Present
g10389.t1	chr19	4821691	4834446	Present
g10314.t1	chr19	2451960	2464125	Present
g10475.t1	chr19	7548457	7553622	Present
g10480.t1	chr19	7581240	7590291	Present
g10489.t1	chr19	7714604	7737809	Present
g10491.t1	chr19	7740652	7761215	Present
g10494.t1	chr19	7949423	8208728	Present
g10510.t1	chr19	8536577	8543330	Present
g10511.t2	chr19	8544744	8552745	Present
g10512.t1	chr19	8553377	8556961	Present
g10513.t1	chr19	8556972	8562164	Present
g10521.t1	chr19	8660614	8662243	Present
g10522.t2	chr19	8678017	8682572	Present
g10530.t1	chr19	9049967	9059387	Present
g10537.t1	chr19	9273320	9278861	Present
g10540.t1	chr19	9283679	9298681	Present
g10541.t1	chr19	9297194	9306735	Present
g10548.t1	chr19	9461271	9481987	Present
g10551.t1	chr19	9481990	9487953	Present
g10562.t1	chr19	9765515	9767276	Present
g10563.t1	chr19	9767241	9773821	Present
g10564.t1	chr19	9769304	9780297	Present
g10567.t1	chr19	9794827	9798860	Present
g10570.t1	chr19	9805270	9808476	Present
g10571.t1	chr19	9809522	9814200	Present
g10574.t1	chr19	9920317	9939653	Absent
g10581.t2	chr19	10069680	10075881	Present
g10601.t1	chr19	10647406	10648978	Present
g10612.t1	chr19	11344524	11351150	Present
g10618.t1	chr19	11445024	11454394	Present
g10619.t1	chr19	11445024	11454394	Present
g10620.t1	chr19	11453158	11455798	Present
g10621.t2	chr19	11456712	11463926	Present
g10626.t1	chr19	11494536	11508191	Present
g10629.t1	chr19	11523573	11527810	Present
g10632.t1	chr19	11693165	11704873	Absent
g10637.t1	chr19	11784961	11795989	Present
g10638.t1	chr19	11796052	11820533	Present
g10645.t1	chr19	11860117	11898368	Present
g10650.t1	chr19	11945661	11957192	Present
g10666.t1	chr19	12155144	12159886	Present
g10667.t1	chr19	12160801	12161309	Present
g10670.t1	chr19	12166904	12169220	Present
g10679.t1	chr19	12294948	12308472	Present
g10704.t1	chr19	12758071	12761824	Present
g10706.t1	chr19	12769752	12777836	Present
g10713.t1	chr19	12861293	12867737	Present
g10733.t1	chr19	13368909	13399843	Present
g10738.t1	chr19	13422293	13440197	Present
g10739.t1	chr19	13432734	13446845	Present
g10743.t1	chr19	13471323	13477651	Present
g10744.t1	chr19	13478510	13481011	Present
g10757.t1	chr19	13655897	13657980	Present
g10765.t2	chr19	13785253	13793547	Present
g10770.t1	chr19	14221198	14224712	Present
g10771.t1	chr19	14288422	14300748	Present
g10774.t1	chr19	14325854	14339443	Present
