HOG	OG	Gene Tree Parent Clade	Af	Aq	Ga	GaY	Gw	GwY
N1.HOG0000063	OG0000003	n57			rna-XM_040161665.1, rna-XM_040162795.1			
N1.HOG0000064	OG0000003	n58			rna-XM_040170012.1		g16447.t1	
N1.HOG0000065	OG0000003	n59			rna-XM_040161805.1			
N1.HOG0000066	OG0000003	n62					g10306.t1	
N1.HOG0000067	OG0000004	n18			rna-XM_040163011.1, rna-XM_040162655.1			
N1.HOG0000068	OG0000004	n21			rna-XM_040163929.1		g10457.t1, g10468.t1	
N1.HOG0000069	OG0000004	n23			rna-XM_040163931.1		g10454.t1	
N1.HOG0000070	OG0000004	n26			rna-XM_040171586.1	rna-XM_040168946.1	g12183.t1, g13977.t1, g12203.t1, g14865.t1	
N1.HOG0000071	OG0000004	n45			rna-XM_040169369.1, rna-XM_040161854.1, rna-XM_040163777.1, rna-XM_040163012.1	rna-XM_040168337.1, rna-XM_040169039.1, rna-XM_040168338.1	g12207.t1	
N1.HOG0000072	OG0000004	n52			rna-XM_040161669.1		g10359.t1	
N1.HOG0000073	OG0000004	n53			rna-XM_040163337.1	rna-XM_040168344.1		
N1.HOG0000074	OG0000004	n54			rna-XM_040163360.1		g12195.t1	
N1.HOG0000075	OG0000004	n55			rna-XM_040163336.1	rna-XM_040168729.1	g12191.t1	
N1.HOG0000076	OG0000004	n57			rna-XM_040162653.1	rna-XM_040168336.1		
N1.HOG0000077	OG0000004	n58			rna-XM_040161672.1		g12198.t1	
N1.HOG0000078	OG0000005	n6			rna-XM_040161675.1			
N1.HOG0000079	OG0000005	n8			rna-XM_040162656.1			
N1.HOG0000080	OG0000005	n9		ApeQuad05791-RA	rna-XM_040163014.1			
N1.HOG0000081	OG0000005	n28		ApeQuad05789-RA				
N1.HOG0000082	OG0000005	n29		ApeQuad05770-RA				
N1.HOG0000083	OG0000005	n36		ApeQuad05755-RA			g12181.t1	
N1.HOG0000084	OG0000005	n38					g12189.t1	
N1.HOG0000085	OG0000005	n42			rna-XM_040163695.1		g13973.t1	
N1.HOG0000086	OG0000005	n44		ApeQuad05766-RA	rna-XM_040162661.1			
N1.HOG0000087	OG0000005	n45		ApeQuad05796-RA	rna-XM_040163013.1			
N1.HOG0000088	OG0000005	n46		ApeQuad05706-RA	rna-XM_040163338.1		g12205.t1	
N1.HOG0000089	OG0000005	n48		ApeQuad21676-RA	rna-XM_040162657.1	rna-XM_040168339.1		
N1.HOG0000090	OG0000005	n51		ApeQuad05792-RA	rna-XM_040161674.1	rna-XM_040168728.1		
N1.HOG0000091	OG0000005	n53		ApeQuad05768-RA	rna-XM_040163934.1			
N1.HOG0000092	OG0000006	n7		ApeQuad08160-RA	rna-XM_040172658.1		g15426.t1	
N1.HOG0000093	OG0000006	n11		ApeQuad03962-RA	rna-XM_040187374.1		g21290.t1	
N1.HOG0000094	OG0000006	n14			rna-XM_040165566.1		g11591.t1	
N1.HOG0000095	OG0000006	n20		ApeQuad08159-RA	rna-XM_040172663.1		g15425.t1	
N1.HOG0000096	OG0000006	n23		ApeQuad03963-RA	rna-XM_040186608.1		g21291.t2	
N1.HOG0000097	OG0000006	n26			rna-XM_040201516.1		g11590.t1	
N1.HOG0000098	OG0000006	n31			rna-XM_040175445.1		g15427.t1	
N1.HOG0000099	OG0000006	n33			rna-XM_040186965.1		g21289.t1	
N1.HOG0000100	OG0000006	n36		ApeQuad08992-RA	rna-XM_040165404.1		g12967.t1	
N1.HOG0000101	OG0000006	n39			rna-XM_040165592.1		g11592.t1	
N1.HOG0000102	OG0000006	n43			rna-XM_040160674.1		g9957.t1	
N1.HOG0000103	OG0000006	n45			rna-XM_040173047.1		g1417.t1	
N1.HOG0000104	OG0000006	n47			rna-XM_040192788.1		g4443.t1	
N1.HOG0000105	OG0000006	n49		ApeQuad11114-RA	rna-XM_040202109.1		g7933.t1	
N1.HOG0000106	OG0000007	n1		ApeQuad07731-RA	rna-XM_040192454.1		g4512.t2	g21957.t2
N1.HOG0000107	OG0000007	n6			rna-XM_040170406.1		g14131.t1	
N1.HOG0000108	OG0000007	n10			rna-XM_040200309.1		g6866.t1	
N1.HOG0000109	OG0000007	n12			rna-XM_040161265.1		g9944.t1	
N1.HOG0000110	OG0000007	n16		ApeQuad18117-RA	rna-XM_040161238.1		g9603.t1	
N1.HOG0000111	OG0000007	n21			rna-XM_040194357.1		g4018.t1	g22060.t1
N1.HOG0000112	OG0000007	n24			rna-XM_040194145.1		g4019.t1	g22059.t1
N1.HOG0000113	OG0000007	n29		ApeQuad16741-RA	rna-XM_040188018.1		g1920.t2	
N1.HOG0000114	OG0000007	n33		ApeQuad14880-RA	rna-XM_040199519.1		g7132.t1	
N1.HOG0000115	OG0000007	n36		ApeQuad18125-RA	rna-XM_040160292.1		g9595.t1	
N1.HOG0000116	OG0000007	n41		ApeQuad07065-RA	rna-XM_040192251.1		g3904.t1	g22171.t1
N1.HOG0000117	OG0000007	n45			rna-XM_040203718.1		g9214.t1	
N1.HOG0000118	OG0000007	n49		ApeQuad13143-RA	rna-XM_040172291.1		g14774.t1	
N1.HOG0000119	OG0000007	n51		ApeQuad19251-RA	rna-XM_040167032.1		g13600.t1	
N1.HOG0000120	OG0000008	n1		ApeQuad07172-RA	rna-XM_040194088.1		g4010.t1	g22068.t1
N1.HOG0000121	OG0000008	n9		ApeQuad07046-RA			g3887.t1	
N1.HOG0000122	OG0000008	n12		ApeQuad07047-RA	rna-XM_040194557.1			g22188.t1
N1.HOG0000123	OG0000008	n15			rna-XM_040194552.1			g22187.t1
N1.HOG0000124	OG0000008	n16			rna-XM_040192260.1		g3908.t1	g22170.t1
N1.HOG0000125	OG0000008	n19			rna-XM_040194556.1			
N1.HOG0000126	OG0000008	n26		ApeQuad10904-RA	rna-XM_040201894.1		g20986.t1, g20987.t1	
N1.HOG0000127	OG0000008	n31			rna-XM_040178548.1			
N1.HOG0000128	OG0000008	n34			rna-XM_040202103.1		g8063.t1	
N1.HOG0000129	OG0000008	n36			rna-XM_040173099.1		g1412.t1	
N1.HOG0000130	OG0000008	n44			rna-XM_040195099.1			
N1.HOG0000131	OG0000008	n45					g4651.t1	
N1.HOG0000132	OG0000008	n46			rna-XM_040164607.1		g12660.t1	
N1.HOG0000133	OG0000008	n47			rna-XM_040178549.1		g17632.t2	
N1.HOG0000134	OG0000008	n49			rna-XM_040201409.1		g8062.t1	
N1.HOG0000135	OG0000009	n1		ApeQuad07746-RA	rna-XM_040192675.1, rna-XM_040193590.1		g4495.t1, g4496.t1	g21937.t1, g21938.t1
N1.HOG0000136	OG0000009	n12		ApeQuad03918-RA	rna-XM_040185701.1		g21383.t1	
N1.HOG0000137	OG0000009	n15		ApeQuad04013-RA	rna-XM_040187584.1		g21266.t1	
N1.HOG0000138	OG0000009	n23		ApeQuad04014-RA, ApeQuad04015-RA	rna-XM_040187585.1		g21265.t1	
N1.HOG0000139	OG0000009	n27		ApeQuad16236-RA	rna-XM_040191368.1		g2431.t1	
N1.HOG0000140	OG0000009	n30			rna-XM_040191371.1			
N1.HOG0000141	OG0000009	n34		ApeQuad16492-RA	rna-XM_040188271.1		g2169.t1	
N1.HOG0000142	OG0000009	n36		ApeQuad04016-RA	rna-XM_040187587.1		g21264.t1	
N1.HOG0000143	OG0000009	n38		ApeQuad04017-RA	rna-XM_040187586.1		g21263.t1	
N1.HOG0000144	OG0000009	n42			rna-XM_040193591.1, rna-XM_040193589.1		g4497.t1	g21939.t1
N1.HOG0000145	OG0000009	n46		ApeQuad04847-RA	rna-XM_040204341.1		g8705.t1	
N1.HOG0000146	OG0000010	n0		ApeQuad06306-RA, ApeQuad06305-RA, ApeQuad05707-RA, ApeQuad05788-RA, ApeQuad21677-RA, ApeQuad21639-RA, ApeQuad05708-RA, ApeQuad05771-RA, ApeQuad05765-RA, ApeQuad05767-RA, ApeQuad05656-RA, ApeQuad05795-RA	rna-XM_040163919.1, rna-XM_040163918.1, rna-XM_040163004.1, rna-XM_040163339.1, rna-XM_040162794.1, rna-XM_040162659.1, rna-XM_040163776.1, rna-XM_040163362.1, rna-XM_040161652.1, rna-XM_040161678.1, rna-XM_040169372.1, rna-XM_040163355.1, rna-XM_040163340.1, rna-XM_040163002.1, rna-XM_040163003.1, rna-XM_040161807.1, rna-XM_040162645.1, rna-XM_040163690.1	rna-XM_040168722.1, rna-XM_040169038.1, rna-XM_040168328.1, rna-XM_040168721.1	g10471.t1, g10473.t1	
N1.HOG0000147	OG0000013	n0			rna-XM_040177006.1, rna-XM_040192650.1, rna-XM_040170182.1, rna-XM_040169584.1, rna-XM_040169550.1, rna-XM_040160992.1, rna-XM_040192393.1, rna-XM_040202585.1, rna-XM_040160991.1, rna-XM_040161167.1, rna-XM_040170001.1, rna-XM_040169722.1, rna-XM_040194949.1, rna-XM_040196669.1, rna-XM_040194635.1, rna-XM_040194654.1, rna-XM_040193018.1, rna-XM_040167782.1, rna-XM_040167784.1, rna-XM_040167791.1, rna-XM_040167748.1, rna-XM_040169954.1, rna-XM_040165085.1, rna-XM_040165084.1, rna-XM_040165086.1, rna-XM_040169419.1, rna-XM_040169386.1, rna-XM_040169287.1, rna-XM_040190842.1, rna-XM_040169563.1, rna-XM_040179479.1, rna-XM_040170229.1, rna-XM_040169641.1, rna-XM_040175075.1, rna-XM_040179393.1, rna-XM_040178456.1, rna-XM_040174881.1, rna-XM_040195477.1, rna-XM_040194634.1, rna-XM_040193131.1, rna-XM_040186839.1, rna-XM_040186834.1, rna-XM_040169482.1, rna-XM_040194432.1			
N1.HOG0000148	OG0000014	n1		ApeQuad05243-RA	rna-XM_040203880.1		g9121.t1	
N1.HOG0000149	OG0000014	n7			rna-XM_040163585.1		g11291.t1	
N1.HOG0000150	OG0000014	n9			rna-XM_040173195.1		g16043.t1	
N1.HOG0000151	OG0000014	n11			rna-XM_040203283.1		g9037.t1	
N1.HOG0000152	OG0000014	n15			rna-XM_040203445.1		g9019.t1	
N1.HOG0000153	OG0000014	n18			rna-XM_040203448.1		g9017.t1	
N1.HOG0000154	OG0000014	n20			rna-XM_040181082.1		g18480.t1	
N1.HOG0000155	OG0000014	n24		ApeQuad13312-RA, ApeQuad13314-RA	rna-XM_040170851.1		g14958.t1, g14959.t1	
N1.HOG0000156	OG0000014	n31			rna-XM_040171503.1, rna-XM_040192632.1		g348.t1	
N1.HOG0000157	OG0000014	n34			rna-XM_040177544.1		g1282.t1	
N1.HOG0000158	OG0000014	n39		ApeQuad05384-RA	rna-XM_040204967.1		g9406.t1	
N1.HOG0000159	OG0000014	n41			rna-XM_040193798.1		g3624.t1	
N1.HOG0000160	OG0000015	n2			rna-XM_040179944.1			
N1.HOG0000161	OG0000015	n4			rna-XM_040192676.1			
N1.HOG0000162	OG0000016	n2			rna-XM_040163917.1			
N1.HOG0000163	OG0000016	n4		ApeQuad17640-RA	rna-XM_040198436.1		g6037.t1	
N1.HOG0000164	OG0000016	n10			rna-XM_040193835.1		g4205.t1	g22496.t1
N1.HOG0000165	OG0000016	n15			rna-XM_040173482.1		g16333.t1	
N1.HOG0000166	OG0000016	n17			rna-XM_040164036.1	rna-XM_040168797.1	g10659.t1	
N1.HOG0000167	OG0000016	n22			rna-XM_040204525.1		g8518.t1	
N1.HOG0000168	OG0000016	n24			rna-XM_040203403.1		g8899.t1	
N1.HOG0000169	OG0000016	n27		ApeQuad07368-RA	rna-XM_040193650.1		g4206.t1	g22497.t1
N1.HOG0000170	OG0000016	n31			rna-XM_040203431.1		g8359.t1	
N1.HOG0000171	OG0000016	n35		ApeQuad01783-RA	rna-XM_040198202.1		g11781.t1	
N1.HOG0000172	OG0000016	n38				rna-XM_040168615.1	g10463.t1	
N1.HOG0000173	OG0000017	n0			rna-XM_040164067.1, rna-XM_040163885.1, rna-XM_040163659.1, rna-XM_040163887.1, rna-XM_040163657.1, rna-XM_040177585.1, rna-XM_040186873.1, rna-XM_040169271.1, rna-XM_040169211.1, rna-XM_040169173.1, rna-XM_040186858.1, rna-XM_040186903.1, rna-XM_040186901.1, rna-XM_040186885.1, rna-XM_040169527.1, rna-XM_040169538.1, rna-XM_040186898.1, rna-XM_040169207.1, rna-XM_040186878.1, rna-XM_040169324.1, rna-XM_040186888.1, rna-XM_040186883.1, rna-XM_040186884.1, rna-XM_040169269.1, rna-XM_040186862.1, rna-XM_040169216.1, rna-XM_040169756.1, rna-XM_040169243.1, rna-XM_040186877.1, rna-XM_040186882.1, rna-XM_040186894.1, rna-XM_040169275.1, rna-XM_040186906.1, rna-XM_040186866.1, rna-XM_040186881.1, rna-XM_040201425.1, rna-XM_040163595.1, rna-XM_040163883.1, rna-XM_040162275.1, rna-XM_040162276.1, rna-XM_040196667.1			
N1.HOG0000174	OG0000018	n0			rna-XM_040169464.1, rna-XM_040169463.1, rna-XM_040202390.1, rna-XM_040202267.1, rna-XM_040200712.1, rna-XM_040202497.1, rna-XM_040200673.1, rna-XM_040202269.1, rna-XM_040200892.1, rna-XM_040200866.1, rna-XM_040200886.1, rna-XM_040167794.1, rna-XM_040167796.1, rna-XM_040167797.1, rna-XM_040167798.1, rna-XM_040167874.1, rna-XM_040202276.1, rna-XM_040169461.1, rna-XM_040169462.1, rna-XM_040202342.1, rna-XM_040184905.1, rna-XM_040184920.1, rna-XM_040202187.1, rna-XM_040202448.1, rna-XM_040202414.1, rna-XM_040202190.1, rna-XM_040202264.1, rna-XM_040202266.1, rna-XM_040202586.1, rna-XM_040202473.1, rna-XM_040202271.1, rna-XM_040202557.1, rna-XM_040200900.1, rna-XM_040167780.1, rna-XM_040167737.1, rna-XM_040167887.1, rna-XM_040202270.1, rna-XM_040201812.1, rna-XM_040167793.1			
N1.HOG0000175	OG0000019	n5		ApeQuad03165-RA	rna-XM_040169115.1, rna-XM_040195468.1, rna-XM_040195189.1, rna-XM_040169112.1, rna-XM_040169688.1, rna-XM_040195796.1, rna-XM_040169171.1, rna-XM_040169111.1, rna-XM_040195797.1, rna-XM_040169601.1, rna-XM_040195787.1, rna-XM_040196748.1		g5543.t1	
N1.HOG0000176	OG0000019	n18			rna-XM_040195191.1, rna-XM_040169633.1		g5539.t1, g5574.t1	
N1.HOG0000177	OG0000019	n21		ApeQuad03164-RA	rna-XM_040196741.1			
N1.HOG0000178	OG0000019	n22			rna-XM_040169114.1, rna-XM_040195794.1, rna-XM_040169110.1, rna-XM_040195795.1, rna-XM_040195192.1			
N1.HOG0000179	OG0000020	n1		ApeQuad08435-RA	rna-XM_040175573.1		g15727.t1	
N1.HOG0000180	OG0000020	n6			rna-XM_040182358.1		g18303.t1	
N1.HOG0000181	OG0000020	n11		ApeQuad03911-RA	rna-XM_040185691.1		g21387.t1	
N1.HOG0000182	OG0000020	n14		ApeQuad17101-RA, ApeQuad09169-RA, ApeQuad07873-RA	rna-XM_040173135.1		g15128.t3	
N1.HOG0000183	OG0000020	n20		ApeQuad14155-RA	rna-XM_040179874.1		g18443.t1	
N1.HOG0000184	OG0000020	n23		ApeQuad00390-RA	rna-XM_040176379.1		g507.t3	
N1.HOG0000185	OG0000020	n27		ApeQuad14285-RA, ApeQuad13732-RA	rna-XM_040180637.1		g18878.t2	
N1.HOG0000186	OG0000020	n31		ApeQuad08357-RA	rna-XM_040173040.1		g15649.t1	
N1.HOG0000187	OG0000021	n4		ApeQuad04283-RA	rna-XM_040186064.1		g21628.t1	
N1.HOG0000188	OG0000021	n12		ApeQuad18245-RA	rna-XM_040160937.1		g9708.t1	
N1.HOG0000189	OG0000021	n15		ApeQuad01694-RA	rna-XM_040167503.1		g11689.t1	
N1.HOG0000190	OG0000021	n18			rna-XM_040198957.1			
N1.HOG0000191	OG0000021	n19		ApeQuad14897-RA	rna-XM_040200484.1		g7152.t1	
N1.HOG0000192	OG0000021	n21		ApeQuad20326-RA	rna-XM_040177299.1		g16510.t1	
N1.HOG0000193	OG0000021	n24		ApeQuad16061-RA	rna-XM_040191663.1		g3208.t1	
N1.HOG0000194	OG0000021	n31			rna-XM_040169875.1		g5654.t1	
N1.HOG0000195	OG0000021	n32		ApeQuad03349-RA	rna-XM_040169237.1		g5655.t1	
N1.HOG0000196	OG0000022	n1		ApeQuad07199-RA	rna-XM_040194027.1		g4032.t1	g22045.t1
N1.HOG0000197	OG0000022	n7			rna-XM_040172570.1		g16214.t1	
N1.HOG0000198	OG0000022	n11			rna-XM_040204047.1		g9181.t1	
N1.HOG0000199	OG0000022	n13			rna-XM_040194358.1		g4075.t1	g22003.t1
N1.HOG0000200	OG0000022	n16			rna-XM_040162329.1		g10905.t1	
N1.HOG0000201	OG0000022	n22			rna-XM_040203548.1		g8469.t1	
N1.HOG0000202	OG0000022	n25			rna-XM_040194322.1		g3680.t1	
N1.HOG0000203	OG0000022	n27			rna-XM_040163515.1		g11286.t1	
N1.HOG0000204	OG0000022	n30			rna-XM_040174584.1		g16051.t1	
N1.HOG0000205	OG0000022	n32			rna-XM_040202470.1		g8147.t1	
N1.HOG0000206	OG0000023	n1		ApeQuad00599-RA	rna-XM_040192496.1		g706.t1	
N1.HOG0000207	OG0000023	n5			rna-XM_040193130.1, rna-XM_040178311.1			
N1.HOG0000208	OG0000023	n8			rna-XM_040192596.1, rna-XM_040193080.1, rna-XM_040192619.1, rna-XM_040191436.1, rna-XM_040192994.1, rna-XM_040191474.1, rna-XM_040191461.1, rna-XM_040192608.1, rna-XM_040191448.1, rna-XM_040192582.1		g704.t1	
N1.HOG0000209	OG0000023	n19			rna-XM_040190379.1, rna-XM_040190354.1, rna-XM_040193116.1, rna-XM_040193181.1, rna-XM_040193155.1, rna-XM_040193142.1, rna-XM_040178707.1			
N1.HOG0000210	OG0000023	n28		ApeQuad21955-RA	rna-XM_040193093.1			
N1.HOG0000211	OG0000023	n31			rna-XM_040193373.1, rna-XM_040180447.1			
N1.HOG0000212	OG0000024	n1		ApeQuad07613-RA	rna-XM_040193426.1		g4429.t1	g22317.t2
N1.HOG0000213	OG0000024	n7		ApeQuad04858-RA	rna-XM_040203497.1		g8689.t4	
N1.HOG0000214	OG0000024	n12		ApeQuad06718-RA, ApeQuad21764-RA, ApeQuad21765-RA	rna-XM_040194333.1		g3547.t1	
N1.HOG0000215	OG0000024	n19		ApeQuad20664-RA	rna-XM_040175345.1		g16235.t1	
N1.HOG0000216	OG0000024	n24		ApeQuad07116-RA	rna-XM_040193258.1		g3956.t1, g3955.t1	g22122.t2
N1.HOG0000217	OG0000024	n29		ApeQuad05512-RA	rna-XM_040204888.1		g9280.t1	
N1.HOG0000218	OG0000025	n0			rna-XM_040172839.1			
N1.HOG0000219	OG0000026	n1		ApeQuad07219-RA	rna-XM_040193897.1		g4052.t1	g22026.t1
N1.HOG0000220	OG0000026	n7		ApeQuad05560-RA	rna-XM_040204894.1		g9236.t1	
N1.HOG0000221	OG0000026	n10		ApeQuad20913-RA	rna-XM_040169229.1		g16448.t1	
N1.HOG0000222	OG0000026	n14		ApeQuad16133-RA	rna-XM_040191929.1			
N1.HOG0000223	OG0000026	n16		ApeQuad02173-RA	rna-XM_040165075.1		g11450.t1	
N1.HOG0000224	OG0000026	n21		ApeQuad20916-RA	rna-XM_040169345.1			
N1.HOG0000225	OG0000026	n23		ApeQuad20917-RA	rna-XM_040163404.1	rna-XM_040168717.1	g11234.t1	
N1.HOG0000226	OG0000026	n29		ApeQuad07220-RA	rna-XM_040193952.1			
N1.HOG0000227	OG0000026	n31			rna-XM_040204551.1			
N1.HOG0000228	OG0000027	n2		ApeQuad05126-RA	rna-XM_040204613.1		g8411.t1	
N1.HOG0000229	OG0000027	n5			rna-XM_040192882.1		g4134.t1	g22584.t1
N1.HOG0000230	OG0000027	n9		ApeQuad20673-RA	rna-XM_040175327.1		g16226.t1	
N1.HOG0000231	OG0000027	n15		ApeQuad06991-RA	rna-XM_040192328.1		g3826.t1	g22247.t1
N1.HOG0000232	OG0000027	n19		ApeQuad06693-RA, ApeQuad06695-RA	rna-XM_040170036.1		g3520.t3	
N1.HOG0000233	OG0000027	n25		ApeQuad07506-RA	rna-XM_040194407.1		g4364.t4	
N1.HOG0000234	OG0000027	n28		ApeQuad04574-RA	rna-XM_040205022.1		g8987.t7	
N1.HOG0000235	OG0000028	n1		ApeQuad09829-RA	rna-XM_040183835.1		g19908.t1	
N1.HOG0000236	OG0000028	n8		ApeQuad08307-RA	rna-XM_040172700.1		g15594.t1	
N1.HOG0000237	OG0000028	n11		ApeQuad14118-RA, ApeQuad14119-RA	rna-XM_040181017.1		g18487.t1	
N1.HOG0000238	OG0000028	n15		ApeQuad15204-RA	rna-XM_040200536.1		g7466.t1	
N1.HOG0000239	OG0000028	n19		ApeQuad07583-RA	rna-XM_040193350.1		g4312.t1, g4389.t1	g22358.t1
N1.HOG0000240	OG0000028	n24		ApeQuad13643-RA	rna-XM_040181319.1		g18961.t1	
N1.HOG0000241	OG0000028	n27		ApeQuad01098-RA	rna-XM_040179378.1		g1265.t2	
N1.HOG0000242	OG0000029	n3			rna-XM_040202400.1			
N1.HOG0000243	OG0000029	n4			rna-XM_040201985.1			
N1.HOG0000244	OG0000029	n10			rna-XM_040201975.1		g8235.t1	
N1.HOG0000245	OG0000029	n13			rna-XM_040202589.1		g8234.t1	
N1.HOG0000246	OG0000029	n15			rna-XM_040201989.1		g8241.t1	
N1.HOG0000247	OG0000029	n19			rna-XM_040201980.1		g8239.t1	
N1.HOG0000248	OG0000029	n23			rna-XM_040201976.1		g8237.t1	
N1.HOG0000249	OG0000029	n24			rna-XM_040201987.1		g8238.t1	
N1.HOG0000250	OG0000029	n26			rna-XM_040167937.1		g14003.t1	
N1.HOG0000251	OG0000029	n28			rna-XM_040195755.1		g5490.t1	
N1.HOG0000252	OG0000030	n1		ApeQuad18915-RA	rna-XM_040166595.1		g13920.t1	
N1.HOG0000253	OG0000030	n6			rna-XM_040167097.1		g13919.t2	
N1.HOG0000254	OG0000030	n8			rna-XM_040167100.1		g13918.t1	
N1.HOG0000255	OG0000030	n14		ApeQuad16767-RA	rna-XM_040188509.1		g1894.t1	
