HOG	OG	Gene Tree Parent Clade	Aq	Ga	GaY	Gw	GwY	Pp
N0.HOG0000028	OG0000001	n63			rna-XM_040168338.1	g10527.t1		
N0.HOG0000029	OG0000001	n64		rna-XM_040161672.1	rna-XM_040168337.1			
N0.HOG0000030	OG0000001	n65	ApeQuad_24370.1	rna-XM_040162652.1				
N0.HOG0000031	OG0000001	n66		rna-XM_040162653.1		g11581.t1		
N0.HOG0000032	OG0000001	n67		rna-XM_040161854.1				rna-XM_037451572.2
N0.HOG0000033	OG0000001	n68				g11595.t1		rna-XM_062562753.1
N0.HOG0000034	OG0000001	n69		rna-XM_040163693.1		g11584.t1		
N0.HOG0000035	OG0000001	n70		rna-XM_040161669.1				rna-XM_037451550.2
N0.HOG0000036	OG0000001	n71		rna-XM_040161671.1		g10532.t1		rna-XM_037451218.2
N0.HOG0000037	OG0000002	n1	ApeQuad_28273.1	rna-XM_040180613.1		g19356.t1		rna-XM_037467233.2
N0.HOG0000038	OG0000002	n8		rna-XM_040162795.1		g11575.t1		
N0.HOG0000039	OG0000002	n10			rna-XM_040168725.1	g11589.t1		
N0.HOG0000040	OG0000002	n16		rna-XM_040161667.1, rna-XM_040163692.1, rna-XM_040163334.1, rna-XM_040163356.1, rna-XM_040163770.1, rna-XM_040163009.1, rna-XM_040163357.1, rna-XM_040163008.1, rna-XM_040163333.1, rna-XM_040161668.1, rna-XM_040162651.1, rna-XM_040162650.1, rna-XM_040162649.1	rna-XM_040168726.1, rna-XM_040168727.1, rna-XM_040168342.1, rna-XM_040168335.1, rna-XM_040168349.1	g10526.t1, g10531.t1, g11585.t1, g11594.t1, g10525.t1		rna-XM_037467433.2
N0.HOG0000041	OG0000002	n39		rna-XM_040163007.1		g11568.t1		rna-XM_037467434.2
N0.HOG0000042	OG0000002	n45	ApeQuad_24413.1, ApeQuad_24369.1, ApeQuad_24402.1, ApeQuad_24299.1, ApeQuad_23678.1, ApeQuad_24420.1, ApeQuad_24343.1, ApeQuad_24361.1, ApeQuad_24408.1, ApeQuad_24403.1			g10652.t1		rna-XM_037451106.2, rna-XM_062562752.1, rna-XM_037451209.2, rna-XM_062563119.1, rna-XM_037451233.2, rna-XM_037450441.2, rna-XM_037451201.2, rna-XM_037452695.2
N0.HOG0000043	OG0000002	n63	ApeQuad_24325.1			g10648.t1		
N0.HOG0000044	OG0000002	n64	ApeQuad_24423.1					rna-XM_037451206.2
N0.HOG0000045	OG0000002	n67		rna-XM_040163936.1, rna-XM_040182818.1				rna-XM_037467564.2
N0.HOG0000046	OG0000002	n69	ApeQuad_28653.1	rna-XM_040161805.1				
N0.HOG0000047	OG0000002	n70	ApeQuad_24295.1			g16583.t1		
N0.HOG0000048	OG0000002	n71	ApeQuad_27512.1					rna-XM_037462643.2
N0.HOG0000049	OG0000003	n1	ApeQuad_15377.1	rna-XM_040194088.1		g4201.t1	g22213.t1	rna-XM_037479726.2
N0.HOG0000050	OG0000003	n6	ApeQuad_20375.1	rna-XM_040201894.1		g21107.t1, g21108.t1		rna-XM_062564556.1, rna-XM_037483012.2
N0.HOG0000051	OG0000003	n15	ApeQuad_15529.1	rna-XM_040194554.1				
N0.HOG0000052	OG0000003	n21		rna-XM_040194557.1				rna-XM_037478883.2
N0.HOG0000053	OG0000003	n22		rna-XM_040192260.1				rna-XM_037481204.2
N0.HOG0000054	OG0000003	n23	ApeQuad_15532.1	rna-XM_040194552.1		g4075.t1, g4076.t1, g4099.t1	g22341.t1	rna-XM_037478884.2
N0.HOG0000055	OG0000003	n29					g22339.t1	rna-XM_037478886.2
N0.HOG0000056	OG0000003	n39	ApeQuad_7873.1			g17751.t1		
N0.HOG0000057	OG0000003	n45	ApeQuad_7875.1	rna-XM_040178549.1		g17753.t1		rna-XM_037466245.2
N0.HOG0000058	OG0000003	n48	ApeQuad_25132.1	rna-XM_040164607.1		g13143.t1		rna-XM_037453014.2, rna-XM_037453015.2, rna-XM_037453016.2, rna-XM_037453017.2
N0.HOG0000059	OG0000003	n54	ApeQuad_19910.1	rna-XM_040201409.1		g8235.t1		rna-XM_062565201.1
N0.HOG0000060	OG0000003	n57	ApeQuad_16045.1	rna-XM_040195099.1		g4837.t1		rna-XM_037483210.2
N0.HOG0000061	OG0000003	n61	ApeQuad_19911.1	rna-XM_040202103.1		g8236.t1		rna-XM_037489168.2
N0.HOG0000062	OG0000003	n64	ApeQuad_2827.1	rna-XM_040173099.1		g1561.t1		rna-XM_037476662.2
N0.HOG0000063	OG0000003	n67	ApeQuad_15528.1	rna-XM_040178548.1				
N0.HOG0000064	OG0000003	n68		rna-XM_040194556.1				rna-XM_037456793.2
N0.HOG0000065	OG0000004	n8	ApeQuad_24546.1			g11562.t1		
N0.HOG0000066	OG0000004	n9	ApeQuad_24290.1			g11569.t1, g10534.t1		
N0.HOG0000067	OG0000004	n11	ApeQuad_24297.1			g11557.t1		
N0.HOG0000068	OG0000004	n12						rna-XM_037451221.2, rna-XM_037451227.2, rna-XM_037451467.2, rna-XM_037451230.2
N0.HOG0000069	OG0000004	n17		rna-XM_040163014.1	rna-XM_040168339.1			
N0.HOG0000070	OG0000004	n20	ApeQuad_24363.1		rna-XM_040168728.1			
N0.HOG0000071	OG0000004	n23		rna-XM_040163013.1		g11586.t1		rna-XM_037451234.2
N0.HOG0000072	OG0000004	n36				g11578.t1		rna-XM_062562823.1
N0.HOG0000073	OG0000004	n47	ApeQuad_24293.1					rna-XM_037450451.2
N0.HOG0000074	OG0000004	n51	ApeQuad_24411.1, ApeQuad_23676.1	rna-XM_040161674.1		g11552.t1		rna-XM_062563121.1, rna-XM_037451229.2, rna-XM_062562754.1
N0.HOG0000075	OG0000004	n57		rna-XM_040161675.1		g11560.t1		rna-XM_037450449.2
N0.HOG0000076	OG0000004	n59		rna-XM_040161677.1		g10655.t1		
N0.HOG0000077	OG0000004	n60		rna-XM_040162657.1		g11596.t1		rna-XM_037451224.2
N0.HOG0000078	OG0000004	n62	ApeQuad_24365.1			g11592.t1		
N0.HOG0000079	OG0000004	n63		rna-XM_040163361.1		g518.t1		
N0.HOG0000080	OG0000004	n64	ApeQuad_24337.1					rna-XM_037451223.2
N0.HOG0000081	OG0000004	n65	ApeQuad_24419.1	rna-XM_040163933.1		g10615.t1		
N0.HOG0000082	OG0000005	n0	ApeQuad_2988.1, ApeQuad_2991.2, ApeQuad_2997.1, ApeQuad_2998.1, ApeQuad_5348.1, ApeQuad_5350.2, ApeQuad_5352.1, ApeQuad_5358.1, ApeQuad_5354.1, ApeQuad_5356.1, ApeQuad_25780.1, ApeQuad_25842.1, ApeQuad_25854.3, ApeQuad_25883.1, ApeQuad_25886.1, ApeQuad_25888.1, ApeQuad_25830.1, ApeQuad_26676.1, ApeQuad_7673.1, ApeQuad_13089.1, ApeQuad_26747.3, ApeQuad_13252.1, ApeQuad_6462.1, ApeQuad_17213.1, ApeQuad_17198.1, ApeQuad_17172.2, ApeQuad_17173.2, ApeQuad_7449.1, ApeQuad_9497.7, ApeQuad_9920.1, ApeQuad_26018.1, ApeQuad_26019.1, ApeQuad_26020.1, ApeQuad_7074.1, ApeQuad_14998.1, ApeQuad_18482.1, ApeQuad_18522.1, ApeQuad_18524.2, ApeQuad_18520.1, ApeQuad_19432.1, ApeQuad_18484.1, ApeQuad_18517.2, ApeQuad_10627.1, ApeQuad_10948.1, ApeQuad_16159.1, ApeQuad_24511.1, ApeQuad_24487.3, ApeQuad_24510.4, ApeQuad_24547.1, ApeQuad_24496.1, ApeQuad_24513.2, ApeQuad_24469.1, ApeQuad_17150.6, ApeQuad_25983.2, ApeQuad_18214.3, ApeQuad_18336.1, ApeQuad_22116.3, ApeQuad_18201.1, ApeQuad_18273.1, ApeQuad_18205.1, ApeQuad_18212.1, ApeQuad_18333.1, ApeQuad_18339.1, ApeQuad_18203.1, ApeQuad_17494.1, ApeQuad_18237.1					
N0.HOG0000083	OG0000006	n0						rna-XM_062557236.1, rna-XM_062557288.1, rna-XM_062563699.1, rna-XM_062557388.1, rna-XM_062557453.1, rna-XM_062557391.1, rna-XM_062557454.1, rna-XM_062557455.1, rna-XM_062557456.1, rna-XM_062557457.1, rna-XM_062557458.1, rna-XM_062557390.1, rna-XM_062557392.1, rna-XM_062557468.1, rna-XM_037465096.2, rna-XM_037461533.2, rna-XM_062560156.1, rna-XM_062561331.1, rna-XM_037455456.2, rna-XM_062559083.1, rna-XM_062565144.1, rna-XM_062562106.1, rna-XM_062562113.1, rna-XM_062559021.1, rna-XM_062562543.1, rna-XM_062562531.1, rna-XM_062562003.1, rna-XM_062561689.1, rna-XM_062562618.1, rna-XM_062562623.1, rna-XM_062562625.1, rna-XM_062562200.1, rna-XM_062562201.1, rna-XM_062562606.1, rna-XM_062565599.1, rna-XM_062558214.1, rna-XM_062565564.1, rna-XM_062565565.1, rna-XM_062565566.1, rna-XM_062559553.1, rna-XM_062559409.1, rna-XM_062559763.1, rna-XM_062559718.1, rna-XM_062559399.1, rna-XM_062560949.1, rna-XM_062560709.1, rna-XM_062562626.1, rna-XM_037482222.2, rna-XM_062558934.1, rna-XM_062559005.1, rna-XM_062558936.1, rna-XM_062558967.1, rna-XM_062558925.1, rna-XM_062558924.1, rna-XM_062559167.1, rna-XM_062559164.1, rna-XM_062557459.1, rna-XM_062557389.1, rna-XM_062557446.1, rna-XM_062566669.1, rna-XM_062566668.1, rna-XM_062557380.1, rna-XM_062557264.1, rna-XM_062557452.1, rna-XM_062563488.1
N0.HOG0000084	OG0000007	n0	ApeQuad_5579.1, ApeQuad_20696.1, ApeQuad_2101.1, ApeQuad_8567.1, ApeQuad_21336.1, ApeQuad_15108.1, ApeQuad_28518.1, ApeQuad_25078.2, ApeQuad_10073.1, ApeQuad_20476.2, ApeQuad_9349.1, ApeQuad_12915.2, ApeQuad_13350.2, ApeQuad_6071.2, ApeQuad_4544.2, ApeQuad_2369.2, ApeQuad_9208.3, ApeQuad_15427.2, ApeQuad_2044.2, ApeQuad_5688.1, ApeQuad_21326.2, ApeQuad_23437.1, ApeQuad_21296.1, ApeQuad_28528.1, ApeQuad_23828.1, ApeQuad_11450.2, ApeQuad_26048.2, ApeQuad_9681.2, ApeQuad_21083.1, ApeQuad_23834.2, ApeQuad_28019.1, ApeQuad_28639.1, ApeQuad_10122.2, ApeQuad_12234.2, ApeQuad_26930.1, ApeQuad_5552.1, ApeQuad_4965.2, ApeQuad_10062.1, ApeQuad_16372.1, ApeQuad_28156.1, ApeQuad_18970.2, ApeQuad_1453.2, ApeQuad_1454.2, ApeQuad_11844.1, ApeQuad_13990.1, ApeQuad_13993.1, ApeQuad_20595.1, ApeQuad_20402.1, ApeQuad_26816.1, ApeQuad_5257.1, ApeQuad_5336.1, ApeQuad_25032.1, ApeQuad_12039.1, ApeQuad_5820.1, ApeQuad_12103.1, ApeQuad_14827.1, ApeQuad_12013.1, ApeQuad_21264.1, ApeQuad_21266.1, ApeQuad_24179.1, ApeQuad_26013.1					rna-XM_062562980.1, rna-XM_062558658.1
N0.HOG0000085	OG0000008	n1	ApeQuad_10687.1	rna-XM_040184638.1		g20856.t1		rna-XM_037470042.2
N0.HOG0000086	OG0000008	n5		rna-XM_040184643.1		g20857.t1		rna-XM_062563442.1
N0.HOG0000087	OG0000008	n11	ApeQuad_14018.1, ApeQuad_24399.1	rna-XM_040190702.1, rna-XM_040190701.1		g3145.t2, g3147.t1, g3148.t1, g3146.t1		
N0.HOG0000088	OG0000008	n18	ApeQuad_14019.1, ApeQuad_14021.1, ApeQuad_14022.1, ApeQuad_24398.1	rna-XM_040190698.1, rna-XM_040190709.1, rna-XM_040190708.1, rna-XM_040190711.1, rna-XM_040190710.1, rna-XM_040190704.1		g3142.t1, g3143.t1, g3141.t1		rna-XM_062566010.1
N0.HOG0000089	OG0000008	n31	ApeQuad_22239.1	rna-XM_040161020.1		g10334.t1, g10333.t1		rna-XM_037449035.2
N0.HOG0000090	OG0000008	n35	ApeQuad_24291.1, ApeQuad_24301.1, ApeQuad_24345.1	rna-XM_040163908.1, rna-XM_040162662.1, rna-XM_040162643.1, rna-XM_040163015.1	rna-XM_040168718.1	g10646.t1, g10614.t1		rna-XM_062562744.1, rna-XM_037451144.2
N0.HOG0000091	OG0000008	n48		rna-XM_040185295.1		g20552.t1		rna-XM_037469434.2
N0.HOG0000092	OG0000008	n50		rna-XM_040185313.1, rna-XM_040185296.1		g20553.t1		rna-XM_062563639.1, rna-XM_062563640.1, rna-XM_037469328.2
N0.HOG0000093	OG0000009	n1	ApeQuad_15870.1	rna-XM_040193770.1		g3802.t1		rna-XM_037479167.2
N0.HOG0000094	OG0000009	n5	ApeQuad_21040.1	rna-XM_040204326.1		g8575.t1		rna-XM_037490593.2
N0.HOG0000095	OG0000009	n10	ApeQuad_15947.2	rna-XM_040194114.1		g3711.t1		rna-XM_037479776.2
N0.HOG0000096	OG0000009	n13	ApeQuad_21541.1	rna-XM_040203749.1		g9617.t1		rna-XM_037490880.2
N0.HOG0000097	OG0000009	n18	ApeQuad_27163.1	rna-XM_040174662.1		g16310.t1		rna-XM_037460829.2
N0.HOG0000098	OG0000009	n21		rna-XM_040163878.1		g11113.t1		rna-XM_037450697.2
N0.HOG0000099	OG0000009	n26	ApeQuad_19414.1	rna-XM_040200220.1		g7451.t1		rna-XM_037486748.2
N0.HOG0000100	OG0000009	n29	ApeQuad_22597.1	rna-XM_040159905.1		g10032.t1		rna-XM_037450255.2
N0.HOG0000101	OG0000009	n34	ApeQuad_21277.1	rna-XM_040204476.1		g9467.t1		rna-XM_037490458.2
N0.HOG0000102	OG0000009	n37	ApeQuad_21977.1	rna-XM_040203385.1		g9088.t1		rna-XM_037491160.2
N0.HOG0000103	OG0000009	n40	ApeQuad_23898.1	rna-XM_040161910.1	rna-XM_040168370.1	g10909.t1		rna-XM_037451012.2
N0.HOG0000104	OG0000009	n45	ApeQuad_20811.1	rna-XM_040204346.1		g8749.t1		rna-XM_037490364.2
N0.HOG0000105	OG0000009	n48	ApeQuad_15775.1	rna-XM_040193409.1		g3950.t1		rna-XM_037479299.2
N0.HOG0000106	OG0000010	n1	ApeQuad_24281.1, ApeQuad_24283.1	rna-XM_040162808.1	rna-XM_040168002.1	g10607.t1, g10608.t1		rna-XM_037450751.2
N0.HOG0000107	OG0000010	n9				g10609.t1	g22892.t1	
N0.HOG0000108	OG0000010	n13	ApeQuad_14171.1	rna-XM_040189834.1		g3010.t1		rna-XM_037475424.2
N0.HOG0000109	OG0000010	n16	ApeQuad_14174.1	rna-XM_040189835.1		g3009.t1		rna-XM_037475423.2
N0.HOG0000110	OG0000010	n21	ApeQuad_14477.1	rna-XM_040191001.1		g3563.t2		rna-XM_037476704.2
N0.HOG0000111	OG0000010	n25	ApeQuad_15921.2	rna-XM_040194111.1		g3727.t1		rna-XM_037480379.2
N0.HOG0000112	OG0000010	n29	ApeQuad_22141.1			g10409.t1		rna-XM_037450002.2
N0.HOG0000113	OG0000010	n32	ApeQuad_26189.1	rna-XM_040167206.1		g13667.t1		rna-XM_062559170.1
N0.HOG0000114	OG0000010	n36	ApeQuad_5305.1	rna-XM_040172106.1		g14188.t1		rna-XM_062557953.1
N0.HOG0000115	OG0000010	n39	ApeQuad_5304.1	rna-XM_040172107.1		g14189.t2		rna-XM_062557954.1
N0.HOG0000116	OG0000010	n44		rna-XM_040205041.1		g8990.t1		rna-XM_037490009.2
N0.HOG0000117	OG0000010	n46		rna-XM_040205043.1		g8989.t2		rna-XM_037490060.2
N0.HOG0000118	OG0000010	n48		rna-XM_040163228.1		g10610.t1		rna-XM_037450752.2
N0.HOG0000119	OG0000011	n0		rna-XM_040196667.1, rna-XM_040164067.1, rna-XM_040163595.1, rna-XM_040163885.1, rna-XM_040163659.1, rna-XM_040163887.1, rna-XM_040163657.1, rna-XM_040163883.1, rna-XM_040162275.1, rna-XM_040162276.1, rna-XM_040186884.1, rna-XM_040186894.1, rna-XM_040186862.1, rna-XM_040186898.1, rna-XM_040186901.1, rna-XM_040186885.1, rna-XM_040186888.1, rna-XM_040186883.1, rna-XM_040186906.1, rna-XM_040186877.1, rna-XM_040186882.1, rna-XM_040186866.1, rna-XM_040186858.1, rna-XM_040186903.1, rna-XM_040177585.1, rna-XM_040186873.1, rna-XM_040186878.1				rna-XM_062564465.1, rna-XM_037472016.2, rna-XM_062564457.1, rna-XM_062564461.1, rna-XM_037472029.2, rna-XM_037472146.2, rna-XM_062564464.1, rna-XM_062564260.1, rna-XM_062564392.1, rna-XM_062564582.1, rna-XM_062564264.1, rna-XM_037472018.2, rna-XM_062564459.1, rna-XM_062564462.1, rna-XM_037472019.2, rna-XM_062564262.1
N0.HOG0000120	OG0000012	n1	ApeQuad_4728.1	rna-XM_040171536.1		g14699.t1		rna-XM_037458668.2
N0.HOG0000121	OG0000012	n5	ApeQuad_10074.4	rna-XM_040184128.1		g20349.t5		rna-XM_037468868.2
N0.HOG0000122	OG0000012	n10	ApeQuad_4968.2	rna-XM_040171379.1		g14336.t1		rna-XM_062557604.1
N0.HOG0000123	OG0000012	n13	ApeQuad_9659.1	rna-XM_040184019.1		g20185.t1		rna-XM_037469205.2
N0.HOG0000124	OG0000012	n18	ApeQuad_14798.2	rna-XM_040193132.1		g4774.t1	g22870.t2	rna-XM_037481108.2
N0.HOG0000125	OG0000012	n22	ApeQuad_20859.1	rna-XM_040204824.1		g8713.t2		
N0.HOG0000126	OG0000012	n26	ApeQuad_19952.3	rna-XM_040201483.1		g8267.t2		rna-XM_037488065.2
N0.HOG0000127	OG0000012	n29	ApeQuad_22976.2	rna-XM_040161294.1		g9768.t1		rna-XM_037448735.2
N0.HOG0000128	OG0000012	n33	ApeQuad_4858.1	rna-XM_040171147.1		g14575.t1		rna-XM_037457825.2
N0.HOG0000129	OG0000012	n37	ApeQuad_4862.1			g14573.t1		rna-XM_037459028.2
N0.HOG0000130	OG0000012	n39	ApeQuad_1288.1	rna-XM_040186670.1		g425.t3		
N0.HOG0000131	OG0000013	n0	ApeQuad_2293.1, ApeQuad_5583.1, ApeQuad_28661.2, ApeQuad_26073.1, ApeQuad_3430.2, ApeQuad_5444.3, ApeQuad_17361.1, ApeQuad_5692.1, ApeQuad_3434.2, ApeQuad_11947.1, ApeQuad_17630.3, ApeQuad_25007.1, ApeQuad_26847.1, ApeQuad_5399.1, ApeQuad_2294.1, ApeQuad_13336.1, ApeQuad_3428.1, ApeQuad_21332.1, ApeQuad_22888.1, ApeQuad_12081.4, ApeQuad_22959.1, ApeQuad_12133.1, ApeQuad_28579.1, ApeQuad_5203.1, ApeQuad_9406.3, ApeQuad_16144.1, ApeQuad_17653.1, ApeQuad_9706.1, ApeQuad_24451.1, ApeQuad_26804.1, ApeQuad_20636.1, ApeQuad_22798.1, ApeQuad_28551.1, ApeQuad_20635.1, ApeQuad_2280.1, ApeQuad_5374.1, ApeQuad_15986.1	rna-XM_040172872.1, rna-XM_040183008.1		g3144.t1		rna-XM_037468018.2
N0.HOG0000132	OG0000014	n1	ApeQuad_4399.1, ApeQuad_4402.1	rna-XM_040170750.1		g14980.t1		rna-XM_062557727.1, rna-XM_062557943.1, rna-XM_062557726.1
N0.HOG0000133	OG0000014	n8						rna-XM_062557781.1, rna-XM_062557742.1, rna-XM_062557625.1
N0.HOG0000134	OG0000014	n11		rna-XM_040170061.1, rna-XM_040170089.1				
N0.HOG0000135	OG0000014	n13	ApeQuad_4292.1, ApeQuad_4298.1, ApeQuad_5105.1					
N0.HOG0000136	OG0000014	n16	ApeQuad_4400.1, ApeQuad_4401.1	rna-XM_040170743.1		g14975.t1, g14976.t2, g14978.t1, g14977.t2, g14979.t1		rna-XM_062557944.1, rna-XM_062557738.1, rna-XM_062557733.1, rna-XM_037457676.2, rna-XM_062557736.1
N0.HOG0000137	OG0000014	n28	ApeQuad_4291.6, ApeQuad_4293.1	rna-XM_040170015.1, rna-XM_040169953.1, rna-XM_040169996.1			g22790.t1, g22791.t1	rna-XM_062557840.1, rna-XM_062557947.1, rna-XM_062557629.1, rna-XM_062557777.1, rna-XM_037457358.2, rna-XM_062557756.1
N0.HOG0000138	OG0000015	n1	ApeQuad_15329.1	rna-XM_040193952.1		g4243.t1	g22169.t1	rna-XM_037480266.2
N0.HOG0000139	OG0000015	n6	ApeQuad_20784.1	rna-XM_040204551.1		g8772.t1		rna-XM_037490674.2
N0.HOG0000140	OG0000015	n11	ApeQuad_23552.1, ApeQuad_27517.1	rna-XM_040161804.1		g11421.t1		rna-XM_037450380.2, rna-XM_062559077.1
N0.HOG0000141	OG0000015	n16	ApeQuad_27519.1, ApeQuad_23551.1	rna-XM_040163404.1	rna-XM_040168717.1	g11422.t1	g22977.t1	rna-XM_037460426.2, rna-XM_037451959.2
N0.HOG0000142	OG0000015	n25	ApeQuad_15330.1	rna-XM_040193897.1		g4242.t1	g22170.t1	rna-XM_037480262.2
N0.HOG0000143	OG0000015	n29	ApeQuad_20783.1	rna-XM_040204894.1		g8773.t1		rna-XM_062564154.1
N0.HOG0000144	OG0000015	n32	ApeQuad_3904.1	rna-XM_040165075.1		g12317.t1		rna-XM_037448552.2
N0.HOG0000145	OG0000016	n0				g1522.t1, g19563.t1, g16015.t1, g11591.t1, g20910.t1, g4957.t1, g7683.t1, g7697.t1, g15269.t1, g9668.t1, g10624.t1, g16212.t1, g3133.t1, g19022.t1, g17572.t1, g17577.t1, g13570.t1, g1206.t1, g16042.t1, g19203.t1, g6669.t1, g1758.t1, g12937.t1, g13541.t1, g2635.t1, g11442.t1, g6643.t1, g21682.t1	g22774.t1, g22918.t1, g22838.t1, g22226.t1, g22958.t1, g22945.t1, g22883.t1, g22909.t1	
N0.HOG0000146	OG0000017	n0	ApeQuad_5608.1	rna-XM_040183231.1, rna-XM_040160785.1		g12097.t1, g16130.t1, g19393.t2, g19420.t2, g5658.t1, g13211.t1, g13392.t1, g13400.t1, g7275.t1, g5541.t1, g16340.t1, g16341.t2, g16343.t1, g18520.t1, g18532.t1, g12622.t1, g10292.t1, g424.t1, g12316.t1, g14038.t1, g14040.t1, g14047.t1, g14084.t2, g14064.t1, g14075.t2, g18245.t1, g21802.t1, g21875.t1, g13089.t1, g9682.t2, g15975.t1		
N0.HOG0000147	OG0000018	n0	ApeQuad_8632.1, ApeQuad_13159.1, ApeQuad_13161.1, ApeQuad_13416.1, ApeQuad_24395.1, ApeQuad_24434.1, ApeQuad_24432.2, ApeQuad_24396.5, ApeQuad_24448.1, ApeQuad_24449.1, ApeQuad_24424.1, ApeQuad_24426.1, ApeQuad_24464.1, ApeQuad_24429.1, ApeQuad_24455.1, ApeQuad_24452.3, ApeQuad_24454.1, ApeQuad_24428.2, ApeQuad_24431.1, ApeQuad_24446.1, ApeQuad_24457.1, ApeQuad_24459.3, ApeQuad_24450.1, ApeQuad_24442.1, ApeQuad_24439.3, ApeQuad_24460.1, ApeQuad_24415.1, ApeQuad_24427.1, ApeQuad_24438.1, ApeQuad_24440.1, ApeQuad_24435.2, ApeQuad_24437.1, ApeQuad_24453.2, ApeQuad_13414.1					
N0.HOG0000148	OG0000019	n1		rna-XM_040192619.1		g852.t1		rna-XM_037461135.2
N0.HOG0000149	OG0000019	n6	ApeQuad_1819.1	rna-XM_040193093.1, rna-XM_040193080.1, rna-XM_040193007.1				rna-XM_037486258.2, rna-XM_037486142.2, rna-XM_062561634.1, rna-XM_062561615.1, rna-XM_037486015.2
N0.HOG0000150	OG0000019	n15	ApeQuad_1821.1	rna-XM_040190379.1, rna-XM_040190354.1, rna-XM_040190366.1				rna-XM_037485880.2
N0.HOG0000151	OG0000019	n19	ApeQuad_1824.1, ApeQuad_1825.7	rna-XM_040193116.1, rna-XM_040193155.1, rna-XM_040193142.1, rna-XM_040193181.1				rna-XM_037457780.2, rna-XM_037457767.2, rna-XM_037457795.2, rna-XM_037457737.2, rna-XM_037457729.2, rna-XM_037457750.2
N0.HOG0000152	OG0000019	n30	ApeQuad_1816.1	rna-XM_040192608.1				rna-XM_062561192.1
N0.HOG0000153	OG0000020	n1	ApeQuad_5146.2	rna-XM_040172152.1		g14461.t3		rna-XM_062557694.1
N0.HOG0000154	OG0000020	n5	ApeQuad_26748.1			g14135.t1		rna-XM_037455946.2
N0.HOG0000155	OG0000020	n9	ApeQuad_7320.2	rna-XM_040177086.1		g16940.t1		rna-XM_062559883.1
N0.HOG0000156	OG0000020	n12	ApeQuad_14614.1	rna-XM_040191319.1, rna-XM_040161844.1		g3686.t1		rna-XM_062565895.1
N0.HOG0000157	OG0000020	n18	ApeQuad_15207.1	rna-XM_040192878.1		g4347.t4	g22614.t4	rna-XM_062564427.1
