external_gene_name	ensembl_gene_id	gene_biotype	chrom_HG37	chrom_start_HG37	chrom_end_HG37	HI	percentile	PLs
AANAT	ENSG00000129673	protein_coding	chr17	74449433	74466199	0.019929068	74.21%	50/205/0
AAR2	ENSG00000131043	protein_coding	chr20	34824381	34858840	0.190803535	37.72%	150/105/0
AARD	ENSG00000205002	protein_coding	chr8	117950438	117956726	0.002413516	89.86%	25/230/0
AARS2	ENSG00000124608	protein_coding	chr6	44267391	44281063	0.089485788	53.33%	100/155/0
AARSD1	ENSG00000266967	protein_coding	chr17	41102543	41116515	0.162354049	41.25%	125/130/0
AASDH	ENSG00000157426	protein_coding	chr4	57204456	57253666	0.054593955	61.31%	75/180/0
AASDHPPT	ENSG00000149313	protein_coding	chr11	105946228	105969437	0.598314702	11.81%	200/55/0
AASS	ENSG00000008311	protein_coding	chr7	121715701	121784334	0.132070987	45.6%	125/130/0
AATF	ENSG00000275700	protein_coding	chr17	35306174	35414171	0.980408321	1.45%	255/0/0
AATF	ENSG00000276072	protein_coding	chr17	35306174	35414171	0.980408321	1.45%	255/0/0
AATK	ENSG00000181409	protein_coding	chr17	79091095	79139877	0.00450864	86.39%	25/230/0
ABAT	ENSG00000183044	protein_coding	chr16	8768422	8878432	0.163825558	41.04%	125/130/0
ABCA1	ENSG00000165029	protein_coding	chr9	107543283	107690518	0.668333708	9.43%	255/0/0
ABCA10	ENSG00000154263	protein_coding	chr17	67143355	67240987	0.002179826	90.49%	0/255/0
ABCA12	ENSG00000144452	protein_coding	chr2	215796266	216003151	0.403146751	20.59%	175/80/0
ABCA13	ENSG00000179869	protein_coding	chr7	48211055	48687092	0.04721773	63.52%	75/180/0
ABCA2	ENSG00000107331	protein_coding	chr9	139901686	139923367	0.074227496	56.47%	100/155/0
ABCA3	ENSG00000167972	protein_coding	chr16	2325882	2390747	0.043607901	64.64%	75/180/0
ABCA4	ENSG00000198691	protein_coding	chr1	94458393	94586688	0.440503373	18.63%	200/55/0
ABCA5	ENSG00000154265	protein_coding	chr17	67240452	67323385	0.269145961	29.93%	175/80/0
ABCA6	ENSG00000154262	protein_coding	chr17	67074843	67138029	0.006278632	84.32%	25/230/0
ABCA7	ENSG00000064687	protein_coding	chr19	1040102	1065571	0.007770288	82.8%	25/230/0
ABCA8	ENSG00000141338	protein_coding	chr17	66863433	66951533	0.008754907	81.9%	25/230/0
ABCA9	ENSG00000154258	protein_coding	chr17	66970629	67057205	0.017284198	75.69%	50/205/0
ABCB1	ENSG00000085563	protein_coding	chr7	87133175	87342611	0.831468236	5.08%	255/0/0
ABCB10	ENSG00000135776	protein_coding	chr1	229652329	229694442	0.028326577	70.29%	50/205/0
ABCB11	ENSG00000276582	protein_coding	chr2	169779448	169887832	0.25846736	30.88%	150/105/0
ABCB11	ENSG00000073734	protein_coding	chr2	169779448	169887832	0.25846736	30.88%	150/105/0
ABCB4	ENSG00000005471	protein_coding	chr7	87031013	87109751	0.238504845	32.55%	150/105/0
ABCB5	ENSG00000004846	protein_coding	chr7	20654830	20816658	0.12579132	46.5%	125/130/0
ABCB6	ENSG00000115657	protein_coding	chr2	220074490	220083712	0.122432704	47.04%	125/130/0
ABCB7	ENSG00000131269	protein_coding	chrX	74273115	74376567	0.341130772	24.77%	175/80/0
ABCB8	ENSG00000197150	protein_coding	chr7	150725510	150744869	0.062047001	59.3%	100/155/0
ABCB9	ENSG00000150967	protein_coding	chr12	123405498	123466196	0.223814046	33.98%	150/105/0
ABCC1	ENSG00000278183	protein_coding	chr16	16043434	16236931	0.091540799	52.94%	100/155/0
ABCC1	ENSG00000103222	protein_coding	chr16	16043434	16236931	0.091540799	52.94%	100/155/0
ABCC10	ENSG00000124574	protein_coding	chr6	43395104	43418168	0.125839341	46.49%	125/130/0
ABCC11	ENSG00000121270	protein_coding	chr16	48200821	48281479	0.006558104	83.99%	25/230/0
ABCC12	ENSG00000140798	protein_coding	chr16	48116884	48189929	0.070949421	57.23%	100/155/0
ABCC2	ENSG00000023839	protein_coding	chr10	101542489	101611949	0.186653982	38.2%	150/105/0
ABCC3	ENSG00000108846	protein_coding	chr17	48712138	48769613	0.044769991	64.26%	75/180/0
ABCC4	ENSG00000125257	protein_coding	chr13	95672083	95953687	0.142494523	44.07%	125/130/0
ABCC5	ENSG00000114770	protein_coding	chr3	183637722	183735803	0.264803016	30.31%	150/105/0
ABCC6	ENSG00000091262	protein_coding	chr16	16242785	16317379	0.022547171	72.9%	50/205/0
ABCC6	ENSG00000275331	protein_coding	chr16	16242785	16317379	0.022547171	72.9%	50/205/0
ABCC8	ENSG00000006071	protein_coding	chr11	17414432	17498449	0.967482639	1.79%	255/0/0
ABCC9	ENSG00000069431	protein_coding	chr12	21950335	22094336	0.261420458	30.64%	150/105/0
ABCD1	ENSG00000101986	protein_coding	chrX	152990323	153010216	0.05959621	59.98%	100/155/0
ABCD2	ENSG00000173208	protein_coding	chr12	39943835	40013553	0.178478666	39.2%	150/105/0
ABCD3	ENSG00000117528	protein_coding	chr1	94883933	94984222	0.51958761	15.03%	200/55/0
ABCD4	ENSG00000119688	protein_coding	chr14	74752126	74769759	0.201608796	36.57%	150/105/0
ABCE1	ENSG00000164163	protein_coding	chr4	146019084	146050331	0.986178934	1.23%	255/0/0
ABCF1	ENSG00000204574	protein_coding	chr6	30539153	30564956	0.199313589	36.78%	150/105/0
ABCF1	ENSG00000225989	protein_coding	chr6	30539153	30564956	0.199313589	36.78%	150/105/0
ABCF1	ENSG00000231129	protein_coding	chr6	30539153	30564956	0.199313589	36.78%	150/105/0
ABCF1	ENSG00000232169	protein_coding	chr6	30539153	30564956	0.199313589	36.78%	150/105/0
ABCF1	ENSG00000236149	protein_coding	chr6	30539153	30564956	0.199313589	36.78%	150/105/0
ABCF1	ENSG00000236342	protein_coding	chr6	30539153	30564956	0.199313589	36.78%	150/105/0
ABCF1	ENSG00000206490	protein_coding	chr6	30539153	30564956	0.199313589	36.78%	150/105/0
ABCF2	ENSG00000033050	protein_coding	chr7	150904923	150924316	0.445512851	18.39%	200/55/0
ABCF3	ENSG00000161204	protein_coding	chr3	183903811	183911800	0.210006842	35.58%	150/105/0
ABCG1	ENSG00000160179	protein_coding	chr21	43619799	43717354	0.367260015	22.94%	175/80/0
ABCG2	ENSG00000118777	protein_coding	chr4	89011416	89152474	0.243518394	32.14%	150/105/0
ABCG4	ENSG00000172350	protein_coding	chr11	119019722	119033360	0.426081578	19.31%	200/55/0
ABCG5	ENSG00000138075	protein_coding	chr2	44039611	44066004	0.20182023	36.56%	150/105/0
ABCG8	ENSG00000143921	protein_coding	chr2	44066103	44105605	0.174377842	39.74%	150/105/0
ABHD1	ENSG00000143994	protein_coding	chr2	27346682	27353680	0.046523373	63.73%	75/180/0
ABHD10	ENSG00000144827	protein_coding	chr3	111697857	111712210	0.050813787	62.43%	75/180/0
ABHD11	ENSG00000106077	protein_coding	chr7	73150424	73153197	0.015871051	76.55%	50/205/0
ABHD12	ENSG00000100997	protein_coding	chr20	25275379	25371619	0.092039068	52.8%	100/155/0
ABHD12B	ENSG00000131969	protein_coding	chr14	51338878	51371688	0.032837943	68.22%	75/180/0
ABHD13	ENSG00000139826	protein_coding	chr13	108870727	108886603	0.215947531	34.9%	150/105/0
ABHD14A	ENSG00000248487	protein_coding	chr3	52005442	52015212	0.036596128	66.94%	75/180/0
ABHD14A-ACY1	ENSG00000114786	protein_coding	chr3	52009066	52023199	0.089304013	53.38%	100/155/0
ABHD14B	ENSG00000114779	protein_coding	chr3	52002526	52017425	0.111110398	49%	125/130/0
ABHD15	ENSG00000168792	protein_coding	chr17	27887565	27894155	0.102676834	50.66%	100/155/0
ABHD16A	ENSG00000206403	protein_coding	chr6	31654726	31671221	0.218787308	34.5%	150/105/0
ABHD16A	ENSG00000236063	protein_coding	chr6	31654726	31671221	0.218787308	34.5%	150/105/0
ABHD16A	ENSG00000235676	protein_coding	chr6	31654726	31671221	0.218787308	34.5%	150/105/0
ABHD16A	ENSG00000231488	protein_coding	chr6	31654726	31671221	0.218787308	34.5%	150/105/0
ABHD16A	ENSG00000230475	protein_coding	chr6	31654726	31671221	0.218787308	34.5%	150/105/0
ABHD16A	ENSG00000204427	protein_coding	chr6	31654726	31671221	0.218787308	34.5%	150/105/0
ABHD16A	ENSG00000224552	protein_coding	chr6	31654726	31671221	0.218787308	34.5%	150/105/0
ABHD16B	ENSG00000183260	protein_coding	chr20	62492566	62494341	0.036737167	66.9%	75/180/0
ABHD17A	ENSG00000129968	protein_coding	chr19	1876809	1885546	0.044405191	64.37%	75/180/0
ABHD17B	ENSG00000107362	protein_coding	chr9	74477368	74525847	0.550746209	13.68%	200/55/0
ABHD17C	ENSG00000136379	protein_coding	chr15	80972025	81047962	0.053788984	61.53%	75/180/0
ABHD2	ENSG00000140526	protein_coding	chr15	89630690	89745591	0.420280407	19.56%	200/55/0
ABHD3	ENSG00000158201	protein_coding	chr18	19230858	19284766	0.175451093	39.58%	150/105/0
ABHD4	ENSG00000100439	protein_coding	chr14	23067146	23081265	0.265560662	30.22%	150/105/0
ABHD5	ENSG00000011198	protein_coding	chr3	43731605	43775863	0.204529043	36.17%	150/105/0
ABHD6	ENSG00000163686	protein_coding	chr3	58223233	58281420	0.317864561	26.24%	175/80/0
ABHD8	ENSG00000127220	protein_coding	chr19	17402940	17421045	0.012085184	79.18%	50/205/0
ABI1	ENSG00000136754	protein_coding	chr10	27035522	27150016	0.696516769	8.59%	255/0/0
ABI2	ENSG00000138443	protein_coding	chr2	204192942	204312446	0.669945981	9.37%	255/0/0
ABI3	ENSG00000108798	protein_coding	chr17	47287589	47300587	0.032000436	68.63%	75/180/0
ABI3BP	ENSG00000154175	protein_coding	chr3	100468000	100712359	0.072954425	56.79%	100/155/0
ABL1	ENSG00000097007	protein_coding	chr9	133589333	133763062	0.915754224	3.1%	255/0/0
ABL2	ENSG00000143322	protein_coding	chr1	179068462	179198819	0.343693287	24.57%	175/80/0
ABLIM1	ENSG00000099204	protein_coding	chr10	116190872	116444762	0.44358146	18.51%	200/55/0
ABLIM2	ENSG00000163995	protein_coding	chr4	7967039	8160559	0.046835245	63.64%	75/180/0
ABLIM3	ENSG00000173210	protein_coding	chr5	148521046	148640105	0.394992795	21.09%	175/80/0
ABR	ENSG00000278741	protein_coding	chr17	906758	1132315	0.634601907	10.64%	200/55/0
ABR	ENSG00000159842	protein_coding	chr17	906758	1132315	0.634601907	10.64%	200/55/0
ABR	ENSG00000276016	protein_coding	chr17	906758	1132315	0.634601907	10.64%	200/55/0
ABRA	ENSG00000174429	protein_coding	chr8	107771711	107782473	0.085117815	54.14%	100/155/0
ABRACL	ENSG00000146386	protein_coding	chr6	139349819	139364439	0.031422661	68.83%	75/180/0
ABT1	ENSG00000146109	protein_coding	chr6	26597180	26600278	0.032342215	68.44%	75/180/0
ABT1	ENSG00000292169	protein_coding	chr6	26597180	26600278	0.032342215	68.44%	75/180/0
ABTB1	ENSG00000114626	protein_coding	chr3	127391778	127399768	0.075523365	56.17%	100/155/0
ABTB2	ENSG00000166016	protein_coding	chr11	34172535	34379555	0.266367943	30.16%	150/105/0
ACAA1	ENSG00000060971	protein_coding	chr3	38144620	38178733	0.152807913	42.57%	125/130/0
ACAA2	ENSG00000167315	protein_coding	chr18	47309869	47340330	0.069775527	57.52%	100/155/0
ACACA	ENSG00000275176	protein_coding	chr17	35441923	35766909	0.94269074	2.39%	255/0/0
ACACA	ENSG00000278540	protein_coding	chr17	35441923	35766909	0.94269074	2.39%	255/0/0
ACACB	ENSG00000076555	protein_coding	chr12	109554400	109706031	0.108212697	49.54%	125/130/0
ACAD10	ENSG00000111271	protein_coding	chr12	112123857	112194903	0.026374196	71.16%	50/205/0
ACAD11	ENSG00000240303	protein_coding	chr3	132276982	132379567	0.064924098	58.66%	100/155/0
ACAD8	ENSG00000151498	protein_coding	chr11	134123389	134135749	0.093005193	52.61%	100/155/0
ACAD9	ENSG00000177646	protein_coding	chr3	128598439	128634910	0.037542625	66.62%	75/180/0
ACADL	ENSG00000115361	protein_coding	chr2	211052663	211090215	0.141427915	44.21%	125/130/0
ACADM	ENSG00000117054	protein_coding	chr1	76190036	76253260	0.275510572	29.48%	175/80/0
ACADS	ENSG00000122971	protein_coding	chr12	121163538	121177811	0.070436549	57.39%	100/155/0
ACADSB	ENSG00000196177	protein_coding	chr10	124768495	124817827	0.041043879	65.42%	75/180/0
ACADVL	ENSG00000072778	protein_coding	chr17	7120444	7128592	0.231050725	33.28%	150/105/0
ACAN	ENSG00000157766	protein_coding	chr15	89346674	89418585	0.017538305	75.58%	50/205/0
ACAP1	ENSG00000288169	protein_coding	chr17	7239848	7254797	0.086299912	53.89%	100/155/0
ACAP1	ENSG00000072818	protein_coding	chr17	7239848	7254797	0.086299912	53.89%	100/155/0
ACAP2	ENSG00000114331	protein_coding	chr3	194995465	195163807	0.547774722	13.85%	200/55/0
ACAP3	ENSG00000131584	protein_coding	chr1	1227756	1244989	0.021694685	73.34%	50/205/0
ACAT1	ENSG00000075239	protein_coding	chr11	107992243	108018503	0.138678583	44.58%	125/130/0
ACAT2	ENSG00000120437	protein_coding	chr6	160181360	160200144	0.090493467	53.12%	100/155/0
ACBD3	ENSG00000182827	protein_coding	chr1	226332380	226374431	0.308663424	26.94%	175/80/0
ACBD4	ENSG00000181513	protein_coding	chr17	43209967	43221548	0.054594192	61.31%	75/180/0
ACBD5	ENSG00000107897	protein_coding	chr10	27484146	27531059	0.116795914	47.98%	125/130/0
ACBD6	ENSG00000230124	protein_coding	chr1	180244515	180472089	0.36803832	22.84%	175/80/0
ACBD7	ENSG00000176244	protein_coding	chr10	15119522	15130775	0.030529126	69.15%	75/180/0
ACCS	ENSG00000110455	protein_coding	chr11	44087475	44105772	0.034927707	67.49%	75/180/0
ACCSL	ENSG00000205126	protein_coding	chr11	44069531	44081527	0.002111959	90.7%	0/255/0
ACD	ENSG00000102977	protein_coding	chr16	67691415	67694713	0.009649667	81.12%	25/230/0
ACE	ENSG00000159640	protein_coding	chr17	61554422	61599205	0.894558224	3.56%	255/0/0
ACE2	ENSG00000130234	protein_coding	chrX	15579156	15620271	0.103125399	50.57%	100/155/0
ACER1	ENSG00000167769	protein_coding	chr19	6306153	6333640	0.011802088	79.38%	50/205/0
ACER2	ENSG00000177076	protein_coding	chr9	19408925	19452018	0.18721458	38.16%	150/105/0
ACER3	ENSG00000078124	protein_coding	chr11	76571911	76737841	0.282744715	28.9%	175/80/0
ACHE	ENSG00000087085	protein_coding	chr7	100487615	100494594	0.455026425	17.93%	200/55/0
ACIN1	ENSG00000100813	protein_coding	chr14	23527773	23564823	0.717450786	8.04%	255/0/0
ACKR1	ENSG00000213088	protein_coding	chr1	159173097	159176290	0.009573072	81.18%	25/230/0
ACKR2	ENSG00000144648	protein_coding	chr3	42846244	42929466	0.020748215	73.81%	50/205/0
ACKR3	ENSG00000144476	protein_coding	chr2	237476430	237491001	0.161876661	41.3%	125/130/0
ACKR4	ENSG00000129048	protein_coding	chr3	132316081	132337811	0.047267146	63.52%	75/180/0
ACLY	ENSG00000131473	protein_coding	chr17	40023161	40086795	0.44685425	18.3%	200/55/0
ACMSD	ENSG00000153086	protein_coding	chr2	135596117	135659604	0.33638393	25.06%	175/80/0
ACO1	ENSG00000122729	protein_coding	chr9	32384618	32454767	0.412115925	20.03%	175/80/0
ACO2	ENSG00000100412	protein_coding	chr22	41865129	41924993	0.657906877	9.8%	255/0/0
ACOT1	ENSG00000184227	protein_coding	chr14	74003818	74010498	0.012166346	79.11%	50/205/0
ACOT11	ENSG00000162390	protein_coding	chr1	55007930	55104865	0.083532045	54.52%	100/155/0
ACOT12	ENSG00000172497	protein_coding	chr5	80625824	80689998	0.05645284	60.8%	75/180/0
ACOT13	ENSG00000112304	protein_coding	chr6	24667263	24705293	0.032154156	68.53%	75/180/0
ACOT2	ENSG00000119673	protein_coding	chr14	74034324	74042357	0.010972761	80.08%	25/230/0
ACOT4	ENSG00000177465	protein_coding	chr14	74058410	74063200	0.025540514	71.55%	50/205/0
ACOT6	ENSG00000205669	protein_coding	chr14	74077649	74086592	0.10045383	51.07%	100/155/0
ACOT7	ENSG00000097021	protein_coding	chr1	6324329	6454451	0.198258082	36.89%	150/105/0
ACOT8	ENSG00000101473	protein_coding	chr20	44470360	44486045	0.073842173	56.55%	100/155/0
ACOT9	ENSG00000123130	protein_coding	chrX	23720370	23784592	0.123415391	46.9%	125/130/0
ACOX1	ENSG00000161533	protein_coding	chr17	73937588	73975515	0.181440529	38.86%	150/105/0
ACOX2	ENSG00000168306	protein_coding	chr3	58490863	58523046	0.021941785	73.2%	50/205/0
ACOX3	ENSG00000087008	protein_coding	chr4	8368009	8442450	0.00758026	82.99%	25/230/0
ACOXL	ENSG00000153093	protein_coding	chr2	111490150	111875799	0.057491176	60.56%	75/180/0
ACP1	ENSG00000143727	protein_coding	chr2	264140	278283	0.241498601	32.31%	150/105/0
ACP2	ENSG00000134575	protein_coding	chr11	47260853	47270457	0.186646535	38.21%	150/105/0
ACP5	ENSG00000102575	protein_coding	chr19	11685475	11689823	0.038435698	66.32%	75/180/0
ACP6	ENSG00000162836	protein_coding	chr1	147101453	147142618	0.053267553	61.72%	75/180/0
ACR	ENSG00000100312	protein_coding	chr22	51176624	51183762	0.009551139	81.19%	25/230/0
ACR	ENSG00000291368	protein_coding	chr22	51176624	51183762	0.009551139	81.19%	25/230/0
ACRBP	ENSG00000111644	protein_coding	chr12	6747241	6756626	0.01889858	74.7%	50/205/0
ACRV1	ENSG00000134940	protein_coding	chr11	125541417	125551018	0.023257266	72.55%	50/205/0
ACSBG1	ENSG00000103740	protein_coding	chr15	78459810	78538030	0.055446923	61.08%	75/180/0
ACSBG2	ENSG00000130377	protein_coding	chr19	6135258	6193112	0.002277408	90.23%	0/255/0
ACSF2	ENSG00000167107	protein_coding	chr17	48503519	48552206	0.036236332	67.04%	75/180/0
ACSF3	ENSG00000176715	protein_coding	chr16	89154783	89222254	0.012049699	79.2%	50/205/0
ACSL1	ENSG00000151726	protein_coding	chr4	185676749	185747972	0.105455707	50.16%	100/155/0
ACSL3	ENSG00000123983	protein_coding	chr2	223725652	223809357	0.118675241	47.65%	125/130/0
ACSL4	ENSG00000068366	protein_coding	chrX	108867473	108976632	0.504424276	15.6%	200/55/0
ACSL5	ENSG00000197142	protein_coding	chr10	114133776	114188138	0.090893632	53.06%	100/155/0
ACSL6	ENSG00000164398	protein_coding	chr5	131142683	131347936	0.245327247	31.99%	150/105/0
ACSM1	ENSG00000166743	protein_coding	chr16	20634559	20710212	0.006779542	83.72%	25/230/0
ACSM2A	ENSG00000183747	protein_coding	chr16	20462783	20498991	0.005190474	85.6%	25/230/0
ACSM2B	ENSG00000066813	protein_coding	chr16	20547548	20587749	0.005001118	85.81%	25/230/0
ACSM3	ENSG00000005187	protein_coding	chr16	20621565	20808903	0.167284946	40.62%	125/130/0
ACSM4	ENSG00000215009	protein_coding	chr12	7456880	7481320	0.022577905	72.89%	50/205/0
ACSM5	ENSG00000183549	protein_coding	chr16	20420856	20452658	0.017561285	75.57%	50/205/0
ACSM6	ENSG00000173124	protein_coding	chr10	96953957	96988685	0.00147864	92.86%	0/255/0
ACSS1	ENSG00000154930	protein_coding	chr20	24986868	25039616	0.048821607	63.01%	75/180/0
ACSS2	ENSG00000131069	protein_coding	chr20	33459949	33515769	0.488270454	16.4%	200/55/0
ACSS3	ENSG00000111058	protein_coding	chr12	81331594	81650533	0.295131278	28.03%	175/80/0
ACTA1	ENSG00000143632	protein_coding	chr1	229566992	229569845	0.716065921	8.1%	255/0/0
ACTA2	ENSG00000107796	protein_coding	chr10	90694831	90751147	0.936377274	2.61%	255/0/0
ACTB	ENSG00000075624	protein_coding	chr7	5566782	5603415	0.99171524	1.03%	255/0/0
ACTBL2	ENSG00000169067	protein_coding	chr5	56775846	56778636	0.152729251	42.58%	125/130/0
ACTC1	ENSG00000159251	protein_coding	chr15	35080297	35088340	0.66284814	9.59%	255/0/0
ACTG1	ENSG00000291420	protein_coding	chr17	79476997	79490873	0.983116739	1.38%	255/0/0
ACTG1	ENSG00000184009	protein_coding	chr17	79476997	79490873	0.983116739	1.38%	255/0/0
ACTG2	ENSG00000163017	protein_coding	chr2	74119441	74146992	0.370515143	22.67%	175/80/0
ACTL10	ENSG00000288649	protein_coding	chr20	32254304	32256331	0.017987153	75.29%	50/205/0
ACTL6A	ENSG00000136518	protein_coding	chr3	179280668	179306196	0.89447236	3.58%	255/0/0
ACTL6B	ENSG00000077080	protein_coding	chr7	100240720	100254084	0.498296439	15.91%	200/55/0
ACTL7A	ENSG00000187003	protein_coding	chr9	111624603	111626035	0.047459247	63.47%	75/180/0
ACTL7B	ENSG00000148156	protein_coding	chr9	111616871	111619239	0.043315867	64.73%	75/180/0
ACTL8	ENSG00000117148	protein_coding	chr1	18081808	18153558	0.001905215	91.23%	0/255/0
ACTL9	ENSG00000181786	protein_coding	chr19	8807751	8809172	0.004666462	86.26%	25/230/0
ACTN1	ENSG00000072110	protein_coding	chr14	69340860	69446157	0.514986607	15.15%	200/55/0
ACTN2	ENSG00000077522	protein_coding	chr1	236849754	236927931	0.55570405	13.49%	200/55/0
ACTN4	ENSG00000130402	protein_coding	chr19	39138289	39222223	0.387377198	21.58%	175/80/0
ACTN4	ENSG00000282844	protein_coding	chr19	39138289	39222223	0.387377198	21.58%	175/80/0
ACTR10	ENSG00000131966	protein_coding	chr14	58666798	58701750	0.530308719	14.58%	200/55/0
ACTR1A	ENSG00000138107	protein_coding	chr10	104238986	104262482	0.617198061	11.19%	200/55/0
ACTR1B	ENSG00000291597	protein_coding	chr2	98272431	98280570	0.331988418	25.32%	175/80/0
ACTR1B	ENSG00000115073	protein_coding	chr2	98272431	98280570	0.331988418	25.32%	175/80/0
ACTR2	ENSG00000138071	protein_coding	chr2	65454887	65498387	0.689557434	8.79%	255/0/0
ACTR3	ENSG00000115091	protein_coding	chr2	114647537	114720173	0.477276734	16.88%	200/55/0
ACTR3B	ENSG00000133627	protein_coding	chr7	152456834	152552463	0.081273101	54.92%	100/155/0
ACTR3C	ENSG00000106526	protein_coding	chr7	149941005	150020814	0.005900668	84.7%	25/230/0
ACTR5	ENSG00000101442	protein_coding	chr20	37377085	37400834	0.119979077	47.44%	125/130/0
ACTR6	ENSG00000075089	protein_coding	chr12	100592900	100635643	0.742440874	7.31%	255/0/0
ACTR8	ENSG00000113812	protein_coding	chr3	53901093	53916229	0.331819735	25.35%	175/80/0
ACTRT1	ENSG00000123165	protein_coding	chrX	127184943	127186382	0.005127697	85.65%	25/230/0
ACTRT2	ENSG00000169717	protein_coding	chr1	2938046	2939465	0.018444598	74.99%	50/205/0
ACTRT3	ENSG00000184378	protein_coding	chr3	169484709	169487683	0.019416019	74.48%	50/205/0
ACVR1	ENSG00000115170	protein_coding	chr2	158592958	158732374	0.908763541	3.27%	255/0/0
ACVR1B	ENSG00000135503	protein_coding	chr12	52345451	52390862	0.615892745	11.26%	200/55/0
ACVR1C	ENSG00000123612	protein_coding	chr2	158383279	158485517	0.479079686	16.81%	200/55/0
ACVR2A	ENSG00000121989	protein_coding	chr2	148602086	148688393	0.954874219	2.08%	255/0/0
ACVR2B	ENSG00000114739	protein_coding	chr3	38495342	38534633	0.559847657	13.37%	200/55/0
ACVRL1	ENSG00000139567	protein_coding	chr12	52300692	52317145	0.108673601	49.42%	125/130/0
ACY1	ENSG00000243989	protein_coding	chr3	52009066	52023213	0.065235845	58.58%	100/155/0
ACY3	ENSG00000132744	protein_coding	chr11	67410026	67418130	0.003638285	87.53%	25/230/0
ACYP1	ENSG00000119640	protein_coding	chr14	75519924	75536186	0.151950805	42.69%	125/130/0
ACYP2	ENSG00000170634	protein_coding	chr2	54197975	54532437	0.067344086	58.08%	100/155/0
ADA	ENSG00000196839	protein_coding	chr20	43248163	43280874	0.574821556	12.82%	200/55/0
ADAD1	ENSG00000164113	protein_coding	chr4	123300121	123350957	0.376192951	22.3%	175/80/0
ADAD2	ENSG00000140955	protein_coding	chr16	84224744	84230774	0.00601312	84.58%	25/230/0
ADAL	ENSG00000168803	protein_coding	chr15	43622872	43646096	0.343367733	24.61%	175/80/0
ADAM10	ENSG00000137845	protein_coding	chr15	58887403	59042177	0.801444084	5.8%	255/0/0
ADAM11	ENSG00000073670	protein_coding	chr17	42836399	42859214	0.131633893	45.66%	125/130/0
ADAM12	ENSG00000148848	protein_coding	chr10	127700950	128077024	0.075293986	56.23%	100/155/0
ADAM15	ENSG00000143537	protein_coding	chr1	155023042	155035252	0.077192579	55.85%	100/155/0
ADAM17	ENSG00000151694	protein_coding	chr2	9628615	9695921	0.398835803	20.86%	175/80/0
ADAM18	ENSG00000168619	protein_coding	chr8	39442008	39587583	0.01116597	79.89%	50/205/0
ADAM18	ENSG00000278548	protein_coding	chr8	39442008	39587583	0.01116597	79.89%	50/205/0
ADAM19	ENSG00000135074	protein_coding	chr5	156822542	157002783	0.121857186	47.16%	125/130/0
ADAM2	ENSG00000276286	protein_coding	chr8	39601254	39695808	0.001389764	93.41%	0/255/0
ADAM2	ENSG00000104755	protein_coding	chr8	39601254	39695808	0.001389764	93.41%	0/255/0
ADAM20	ENSG00000134007	protein_coding	chr14	70989075	71001732	0.000858397	96.3%	0/255/0
ADAM21	ENSG00000139985	protein_coding	chr14	70918874	70926622	0.009866102	80.97%	25/230/0
ADAM22	ENSG00000008277	protein_coding	chr7	87563458	87832204	0.517774472	15.06%	200/55/0
ADAM23	ENSG00000114948	protein_coding	chr2	207308263	207485851	0.480551722	16.74%	200/55/0
ADAM28	ENSG00000042980	protein_coding	chr8	24151553	24216531	0.028862647	69.97%	75/180/0
