HOG	OG	Gene Tree Parent Clade	Af	Aq	Ga	GaY	Gw	GwY
N3.HOG0000059	OG0000003	n55			rna-XM_040162649.1	rna-XM_040168725.1		
N3.HOG0000060	OG0000003	n57			rna-XM_040161665.1, rna-XM_040162795.1			
N3.HOG0000061	OG0000003	n58			rna-XM_040170012.1			
N3.HOG0000062	OG0000003	n59			rna-XM_040161805.1			
N3.HOG0000063	OG0000004	n18			rna-XM_040163011.1, rna-XM_040162655.1			
N3.HOG0000064	OG0000004	n21			rna-XM_040163929.1			
N3.HOG0000065	OG0000004	n23			rna-XM_040163931.1			
N3.HOG0000066	OG0000004	n26			rna-XM_040171586.1	rna-XM_040168946.1		
N3.HOG0000067	OG0000004	n48			rna-XM_040161854.1, rna-XM_040163777.1	rna-XM_040169039.1		
N3.HOG0000068	OG0000004	n51			rna-XM_040163012.1	rna-XM_040168338.1		
N3.HOG0000069	OG0000004	n52			rna-XM_040161669.1			
N3.HOG0000070	OG0000004	n53			rna-XM_040163337.1	rna-XM_040168344.1		
N3.HOG0000071	OG0000004	n54			rna-XM_040163360.1			
N3.HOG0000072	OG0000004	n55			rna-XM_040163336.1	rna-XM_040168729.1		
N3.HOG0000073	OG0000004	n57			rna-XM_040162653.1	rna-XM_040168336.1		
N3.HOG0000074	OG0000004	n58			rna-XM_040161672.1			
N3.HOG0000075	OG0000005	n6			rna-XM_040161675.1			
N3.HOG0000076	OG0000005	n8			rna-XM_040162656.1			
N3.HOG0000077	OG0000005	n9			rna-XM_040163014.1			
N3.HOG0000078	OG0000005	n42			rna-XM_040163695.1			
N3.HOG0000079	OG0000005	n44			rna-XM_040162661.1			
N3.HOG0000080	OG0000005	n45			rna-XM_040163013.1			
N3.HOG0000081	OG0000005	n46			rna-XM_040163338.1			
N3.HOG0000082	OG0000005	n48			rna-XM_040162657.1	rna-XM_040168339.1		
N3.HOG0000083	OG0000005	n51			rna-XM_040161674.1	rna-XM_040168728.1		
N3.HOG0000084	OG0000005	n53			rna-XM_040163934.1			
N3.HOG0000085	OG0000006	n7			rna-XM_040172658.1			
N3.HOG0000086	OG0000006	n11			rna-XM_040187374.1			
N3.HOG0000087	OG0000006	n14			rna-XM_040165566.1			
N3.HOG0000088	OG0000006	n20			rna-XM_040172663.1			
N3.HOG0000089	OG0000006	n23			rna-XM_040186608.1			
N3.HOG0000090	OG0000006	n26			rna-XM_040201516.1			
N3.HOG0000091	OG0000006	n31			rna-XM_040175445.1			
N3.HOG0000092	OG0000006	n33			rna-XM_040186965.1			
N3.HOG0000093	OG0000006	n36			rna-XM_040165404.1			
N3.HOG0000094	OG0000006	n39			rna-XM_040165592.1			
N3.HOG0000095	OG0000006	n43			rna-XM_040160674.1			
N3.HOG0000096	OG0000006	n45			rna-XM_040173047.1			
N3.HOG0000097	OG0000006	n47			rna-XM_040192788.1			
N3.HOG0000098	OG0000006	n49			rna-XM_040202109.1			
N3.HOG0000099	OG0000007	n1			rna-XM_040192454.1			
N3.HOG0000100	OG0000007	n6			rna-XM_040170406.1			
N3.HOG0000101	OG0000007	n10			rna-XM_040200309.1			
N3.HOG0000102	OG0000007	n12			rna-XM_040161265.1			
N3.HOG0000103	OG0000007	n16			rna-XM_040161238.1			
N3.HOG0000104	OG0000007	n21			rna-XM_040194357.1			
N3.HOG0000105	OG0000007	n24			rna-XM_040194145.1			
N3.HOG0000106	OG0000007	n29			rna-XM_040188018.1			
N3.HOG0000107	OG0000007	n33			rna-XM_040199519.1			
N3.HOG0000108	OG0000007	n36			rna-XM_040160292.1			
N3.HOG0000109	OG0000007	n41			rna-XM_040192251.1			
N3.HOG0000110	OG0000007	n45			rna-XM_040203718.1			
N3.HOG0000111	OG0000007	n49			rna-XM_040172291.1			
N3.HOG0000112	OG0000007	n51			rna-XM_040167032.1			
N3.HOG0000113	OG0000008	n1			rna-XM_040194088.1			
N3.HOG0000114	OG0000008	n12			rna-XM_040194557.1			
N3.HOG0000115	OG0000008	n15			rna-XM_040194552.1			
N3.HOG0000116	OG0000008	n16			rna-XM_040192260.1			
N3.HOG0000117	OG0000008	n19			rna-XM_040194556.1			
N3.HOG0000118	OG0000008	n26			rna-XM_040201894.1			
N3.HOG0000119	OG0000008	n31			rna-XM_040178548.1			
N3.HOG0000120	OG0000008	n34			rna-XM_040202103.1			
N3.HOG0000121	OG0000008	n36			rna-XM_040173099.1			
N3.HOG0000122	OG0000008	n44			rna-XM_040195099.1			
N3.HOG0000123	OG0000008	n46			rna-XM_040164607.1			
N3.HOG0000124	OG0000008	n47			rna-XM_040178549.1			
N3.HOG0000125	OG0000008	n49			rna-XM_040201409.1			
N3.HOG0000126	OG0000009	n1			rna-XM_040192675.1, rna-XM_040193590.1			
N3.HOG0000127	OG0000009	n12			rna-XM_040185701.1			
N3.HOG0000128	OG0000009	n15			rna-XM_040187584.1			
N3.HOG0000129	OG0000009	n23			rna-XM_040187585.1			
N3.HOG0000130	OG0000009	n27			rna-XM_040191368.1			
N3.HOG0000131	OG0000009	n30			rna-XM_040191371.1			
N3.HOG0000132	OG0000009	n34			rna-XM_040188271.1			
N3.HOG0000133	OG0000009	n36			rna-XM_040187587.1			
N3.HOG0000134	OG0000009	n38			rna-XM_040187586.1			
N3.HOG0000135	OG0000009	n42			rna-XM_040193591.1, rna-XM_040193589.1			
N3.HOG0000136	OG0000009	n46			rna-XM_040204341.1			
N3.HOG0000137	OG0000010	n16			rna-XM_040163919.1, rna-XM_040163918.1			
N3.HOG0000138	OG0000010	n23			rna-XM_040163004.1	rna-XM_040168722.1		
N3.HOG0000139	OG0000010	n24			rna-XM_040163339.1, rna-XM_040162794.1	rna-XM_040169038.1		
N3.HOG0000140	OG0000010	n26			rna-XM_040162659.1, rna-XM_040163776.1			
N3.HOG0000141	OG0000010	n27			rna-XM_040163362.1, rna-XM_040161652.1, rna-XM_040161678.1, rna-XM_040169372.1	rna-XM_040168328.1		
N3.HOG0000142	OG0000010	n31			rna-XM_040163002.1, rna-XM_040163003.1, rna-XM_040161807.1, rna-XM_040162645.1, rna-XM_040163690.1	rna-XM_040168721.1		
N3.HOG0000143	OG0000013	n0			rna-XM_040177006.1, rna-XM_040192650.1, rna-XM_040170182.1, rna-XM_040169584.1, rna-XM_040169550.1, rna-XM_040160992.1, rna-XM_040192393.1, rna-XM_040202585.1, rna-XM_040160991.1, rna-XM_040161167.1, rna-XM_040170001.1, rna-XM_040169722.1, rna-XM_040194949.1, rna-XM_040196669.1, rna-XM_040194635.1, rna-XM_040194654.1, rna-XM_040193018.1, rna-XM_040167782.1, rna-XM_040167784.1, rna-XM_040167791.1, rna-XM_040167748.1, rna-XM_040169954.1, rna-XM_040165085.1, rna-XM_040165084.1, rna-XM_040165086.1, rna-XM_040169419.1, rna-XM_040169386.1, rna-XM_040169287.1, rna-XM_040190842.1, rna-XM_040169563.1, rna-XM_040179479.1, rna-XM_040170229.1, rna-XM_040169641.1, rna-XM_040175075.1, rna-XM_040179393.1, rna-XM_040178456.1, rna-XM_040174881.1, rna-XM_040195477.1, rna-XM_040194634.1, rna-XM_040193131.1, rna-XM_040186839.1, rna-XM_040186834.1, rna-XM_040169482.1, rna-XM_040194432.1			
N3.HOG0000144	OG0000014	n1			rna-XM_040203880.1			
N3.HOG0000145	OG0000014	n7			rna-XM_040163585.1			
N3.HOG0000146	OG0000014	n9			rna-XM_040173195.1			
N3.HOG0000147	OG0000014	n11			rna-XM_040203283.1			
N3.HOG0000148	OG0000014	n15			rna-XM_040203445.1			
N3.HOG0000149	OG0000014	n18			rna-XM_040203448.1			
N3.HOG0000150	OG0000014	n20			rna-XM_040181082.1			
N3.HOG0000151	OG0000014	n24			rna-XM_040170851.1			
N3.HOG0000152	OG0000014	n31			rna-XM_040171503.1, rna-XM_040192632.1			
N3.HOG0000153	OG0000014	n34			rna-XM_040177544.1			
N3.HOG0000154	OG0000014	n39			rna-XM_040204967.1			
N3.HOG0000155	OG0000014	n41			rna-XM_040193798.1			
N3.HOG0000156	OG0000015	n2			rna-XM_040179944.1			
N3.HOG0000157	OG0000015	n4			rna-XM_040192676.1			
N3.HOG0000158	OG0000016	n2			rna-XM_040163917.1			
N3.HOG0000159	OG0000016	n4			rna-XM_040198436.1			
N3.HOG0000160	OG0000016	n10			rna-XM_040193835.1			
N3.HOG0000161	OG0000016	n15			rna-XM_040173482.1			
N3.HOG0000162	OG0000016	n17			rna-XM_040164036.1	rna-XM_040168797.1		
N3.HOG0000163	OG0000016	n22			rna-XM_040204525.1			
N3.HOG0000164	OG0000016	n24			rna-XM_040203403.1			
N3.HOG0000165	OG0000016	n27			rna-XM_040193650.1			
N3.HOG0000166	OG0000016	n31			rna-XM_040203431.1			
N3.HOG0000167	OG0000016	n35			rna-XM_040198202.1			
N3.HOG0000168	OG0000016	n38				rna-XM_040168615.1		
N3.HOG0000169	OG0000017	n0			rna-XM_040164067.1, rna-XM_040163885.1, rna-XM_040163659.1, rna-XM_040163887.1, rna-XM_040163657.1, rna-XM_040177585.1, rna-XM_040186873.1, rna-XM_040169271.1, rna-XM_040169211.1, rna-XM_040169173.1, rna-XM_040186858.1, rna-XM_040186903.1, rna-XM_040186901.1, rna-XM_040186885.1, rna-XM_040169527.1, rna-XM_040169538.1, rna-XM_040186898.1, rna-XM_040169207.1, rna-XM_040186878.1, rna-XM_040169324.1, rna-XM_040186888.1, rna-XM_040186883.1, rna-XM_040186884.1, rna-XM_040169269.1, rna-XM_040186862.1, rna-XM_040169216.1, rna-XM_040169756.1, rna-XM_040169243.1, rna-XM_040186877.1, rna-XM_040186882.1, rna-XM_040186894.1, rna-XM_040169275.1, rna-XM_040186906.1, rna-XM_040186866.1, rna-XM_040186881.1, rna-XM_040201425.1, rna-XM_040163595.1, rna-XM_040163883.1, rna-XM_040162275.1, rna-XM_040162276.1, rna-XM_040196667.1			
N3.HOG0000170	OG0000018	n0			rna-XM_040169464.1, rna-XM_040169463.1, rna-XM_040202390.1, rna-XM_040202267.1, rna-XM_040200712.1, rna-XM_040202497.1, rna-XM_040200673.1, rna-XM_040202269.1, rna-XM_040200892.1, rna-XM_040200866.1, rna-XM_040200886.1, rna-XM_040167794.1, rna-XM_040167796.1, rna-XM_040167797.1, rna-XM_040167798.1, rna-XM_040167874.1, rna-XM_040202276.1, rna-XM_040169461.1, rna-XM_040169462.1, rna-XM_040202342.1, rna-XM_040184905.1, rna-XM_040184920.1, rna-XM_040202187.1, rna-XM_040202448.1, rna-XM_040202414.1, rna-XM_040202190.1, rna-XM_040202264.1, rna-XM_040202266.1, rna-XM_040202586.1, rna-XM_040202473.1, rna-XM_040202271.1, rna-XM_040202557.1, rna-XM_040200900.1, rna-XM_040167780.1, rna-XM_040167737.1, rna-XM_040167887.1, rna-XM_040202270.1, rna-XM_040201812.1, rna-XM_040167793.1			
N3.HOG0000171	OG0000019	n5			rna-XM_040169115.1, rna-XM_040195468.1, rna-XM_040195189.1, rna-XM_040169112.1, rna-XM_040169688.1, rna-XM_040195796.1, rna-XM_040169171.1, rna-XM_040169111.1, rna-XM_040195797.1, rna-XM_040169601.1, rna-XM_040195787.1, rna-XM_040196748.1			
N3.HOG0000172	OG0000019	n18			rna-XM_040195191.1, rna-XM_040169633.1			
N3.HOG0000173	OG0000019	n21			rna-XM_040196741.1			
N3.HOG0000174	OG0000019	n22			rna-XM_040169114.1, rna-XM_040195794.1, rna-XM_040169110.1, rna-XM_040195795.1, rna-XM_040195192.1			
N3.HOG0000175	OG0000020	n1			rna-XM_040175573.1			
N3.HOG0000176	OG0000020	n6			rna-XM_040182358.1			
N3.HOG0000177	OG0000020	n11			rna-XM_040185691.1			
N3.HOG0000178	OG0000020	n14			rna-XM_040173135.1			
N3.HOG0000179	OG0000020	n20			rna-XM_040179874.1			
N3.HOG0000180	OG0000020	n23			rna-XM_040176379.1			
N3.HOG0000181	OG0000020	n27			rna-XM_040180637.1			
N3.HOG0000182	OG0000020	n31			rna-XM_040173040.1			
N3.HOG0000183	OG0000021	n4			rna-XM_040186064.1			
N3.HOG0000184	OG0000021	n12			rna-XM_040160937.1			
N3.HOG0000185	OG0000021	n15			rna-XM_040167503.1			
N3.HOG0000186	OG0000021	n18			rna-XM_040198957.1			
N3.HOG0000187	OG0000021	n19			rna-XM_040200484.1			
N3.HOG0000188	OG0000021	n21			rna-XM_040177299.1			
N3.HOG0000189	OG0000021	n24			rna-XM_040191663.1			
N3.HOG0000190	OG0000021	n31			rna-XM_040169875.1			
N3.HOG0000191	OG0000021	n32			rna-XM_040169237.1			
N3.HOG0000192	OG0000022	n1			rna-XM_040194027.1			
N3.HOG0000193	OG0000022	n7			rna-XM_040172570.1			
N3.HOG0000194	OG0000022	n11			rna-XM_040204047.1			
N3.HOG0000195	OG0000022	n13			rna-XM_040194358.1			
N3.HOG0000196	OG0000022	n16			rna-XM_040162329.1			
N3.HOG0000197	OG0000022	n22			rna-XM_040203548.1			
N3.HOG0000198	OG0000022	n25			rna-XM_040194322.1			
N3.HOG0000199	OG0000022	n27			rna-XM_040163515.1			
N3.HOG0000200	OG0000022	n30			rna-XM_040174584.1			
N3.HOG0000201	OG0000022	n32			rna-XM_040202470.1			
N3.HOG0000202	OG0000023	n1			rna-XM_040192496.1			
N3.HOG0000203	OG0000023	n5			rna-XM_040193130.1, rna-XM_040178311.1			
N3.HOG0000204	OG0000023	n8			rna-XM_040192596.1, rna-XM_040193080.1, rna-XM_040192619.1, rna-XM_040191436.1, rna-XM_040192994.1, rna-XM_040191474.1, rna-XM_040191461.1, rna-XM_040192608.1, rna-XM_040191448.1, rna-XM_040192582.1			
N3.HOG0000205	OG0000023	n19			rna-XM_040190379.1, rna-XM_040190354.1, rna-XM_040193116.1, rna-XM_040193181.1, rna-XM_040193155.1, rna-XM_040193142.1, rna-XM_040178707.1			
N3.HOG0000206	OG0000023	n28			rna-XM_040193093.1			
N3.HOG0000207	OG0000023	n31			rna-XM_040193373.1, rna-XM_040180447.1			
N3.HOG0000208	OG0000024	n1			rna-XM_040193426.1			
N3.HOG0000209	OG0000024	n7			rna-XM_040203497.1			
N3.HOG0000210	OG0000024	n12			rna-XM_040194333.1			
N3.HOG0000211	OG0000024	n19			rna-XM_040175345.1			
N3.HOG0000212	OG0000024	n24			rna-XM_040193258.1			
N3.HOG0000213	OG0000024	n29			rna-XM_040204888.1			
N3.HOG0000214	OG0000025	n0			rna-XM_040172839.1			
N3.HOG0000215	OG0000026	n1			rna-XM_040193897.1			
N3.HOG0000216	OG0000026	n7			rna-XM_040204894.1			
N3.HOG0000217	OG0000026	n10			rna-XM_040169229.1			
N3.HOG0000218	OG0000026	n14			rna-XM_040191929.1			
N3.HOG0000219	OG0000026	n16			rna-XM_040165075.1			
N3.HOG0000220	OG0000026	n21			rna-XM_040169345.1			
N3.HOG0000221	OG0000026	n23			rna-XM_040163404.1	rna-XM_040168717.1		
N3.HOG0000222	OG0000026	n29			rna-XM_040193952.1			
N3.HOG0000223	OG0000026	n31			rna-XM_040204551.1			
N3.HOG0000224	OG0000027	n2			rna-XM_040204613.1			
N3.HOG0000225	OG0000027	n5			rna-XM_040192882.1			
N3.HOG0000226	OG0000027	n9			rna-XM_040175327.1			
N3.HOG0000227	OG0000027	n15			rna-XM_040192328.1			
N3.HOG0000228	OG0000027	n19			rna-XM_040170036.1			
N3.HOG0000229	OG0000027	n25			rna-XM_040194407.1			
N3.HOG0000230	OG0000027	n28			rna-XM_040205022.1			
N3.HOG0000231	OG0000028	n1			rna-XM_040183835.1			
N3.HOG0000232	OG0000028	n8			rna-XM_040172700.1			
N3.HOG0000233	OG0000028	n11			rna-XM_040181017.1			
N3.HOG0000234	OG0000028	n15			rna-XM_040200536.1			
N3.HOG0000235	OG0000028	n19			rna-XM_040193350.1			
N3.HOG0000236	OG0000028	n24			rna-XM_040181319.1			
N3.HOG0000237	OG0000028	n27			rna-XM_040179378.1			
N3.HOG0000238	OG0000029	n3			rna-XM_040202400.1			
N3.HOG0000239	OG0000029	n4			rna-XM_040201985.1			
N3.HOG0000240	OG0000029	n10			rna-XM_040201975.1			
N3.HOG0000241	OG0000029	n13			rna-XM_040202589.1			
N3.HOG0000242	OG0000029	n15			rna-XM_040201989.1			
N3.HOG0000243	OG0000029	n19			rna-XM_040201980.1			
N3.HOG0000244	OG0000029	n23			rna-XM_040201976.1			
N3.HOG0000245	OG0000029	n24			rna-XM_040201987.1			
N3.HOG0000246	OG0000029	n26			rna-XM_040167937.1			
N3.HOG0000247	OG0000029	n28			rna-XM_040195755.1			
N3.HOG0000248	OG0000030	n1			rna-XM_040166595.1			
N3.HOG0000249	OG0000030	n6			rna-XM_040167097.1			
N3.HOG0000250	OG0000030	n8			rna-XM_040167100.1			
N3.HOG0000251	OG0000030	n14			rna-XM_040188509.1			
N3.HOG0000252	OG0000030	n17			rna-XM_040165138.1			
N3.HOG0000253	OG0000030	n20			rna-XM_040160355.1			
N3.HOG0000254	OG0000030	n23			rna-XM_040162593.1	rna-XM_040168424.1		
N3.HOG0000255	OG0000030	n27			rna-XM_040203231.1			
N3.HOG0000256	OG0000031	n8			rna-XM_040174984.1, rna-XM_040174930.1, rna-XM_040174982.1, rna-XM_040174986.1, rna-XM_040174985.1			
N3.HOG0000257	OG0000031	n13			rna-XM_040174994.1, rna-XM_040174998.1, rna-XM_040169776.1, rna-XM_040174983.1, rna-XM_040169697.1, rna-XM_040169696.1, rna-XM_040174989.1, rna-XM_040174993.1, rna-XM_040174991.1, rna-XM_040174992.1, rna-XM_040174990.1, rna-XM_040174997.1, rna-XM_040174564.1, rna-XM_040174987.1			
N3.HOG0000258	OG0000031	n27			rna-XM_040172669.1, rna-XM_040172930.1			
N3.HOG0000259	OG0000031	n28			rna-XM_040172932.1, rna-XM_040172670.1, rna-XM_040172928.1			
N3.HOG0000260	OG0000032	n0			rna-XM_040177452.1, rna-XM_040177453.1, rna-XM_040177455.1, rna-XM_040172090.1, rna-XM_040202186.1, rna-XM_040202189.1, rna-XM_040176585.1			
N3.HOG0000261	OG0000033	n1			rna-XM_040187882.1, rna-XM_040189474.1, rna-XM_040187889.1, rna-XM_040187919.1			
N3.HOG0000262	OG0000033	n14			rna-XM_040169680.1, rna-XM_040189435.1, rna-XM_040187880.1, rna-XM_040189321.1, rna-XM_040189467.1, rna-XM_040189468.1, rna-XM_040189475.1, rna-XM_040189438.1, rna-XM_040189466.1, rna-XM_040189472.1, rna-XM_040169499.1, rna-XM_040189479.1, rna-XM_040188061.1			
N3.HOG0000263	OG0000034	n1			rna-XM_040177319.1			
N3.HOG0000264	OG0000034	n9			rna-XM_040191917.1			
N3.HOG0000265	OG0000034	n14			rna-XM_040176956.1			
N3.HOG0000266	OG0000034	n17			rna-XM_040191305.1			
N3.HOG0000267	OG0000034	n21			rna-XM_040190362.1			
N3.HOG0000268	OG0000034	n24			rna-XM_040191845.1			
N3.HOG0000269	OG0000034	n27			rna-XM_040177392.1			
N3.HOG0000270	OG0000035	n1			rna-XM_040184638.1			
N3.HOG0000271	OG0000035	n6			rna-XM_040184643.1			
N3.HOG0000272	OG0000035	n9			rna-XM_040185313.1, rna-XM_040185296.1			
N3.HOG0000273	OG0000035	n12			rna-XM_040185295.1			
N3.HOG0000274	OG0000035	n16			rna-XM_040159912.1			
N3.HOG0000275	OG0000035	n24			rna-XM_040163908.1			
N3.HOG0000276	OG0000035	n25			rna-XM_040162643.1, rna-XM_040162662.1, rna-XM_040163015.1	rna-XM_040168718.1		
N3.HOG0000277	OG0000036	n1			rna-XM_040202789.1			
N3.HOG0000278	OG0000036	n5			rna-XM_040192878.1			
N3.HOG0000279	OG0000036	n12			rna-XM_040172152.1			
N3.HOG0000280	OG0000036	n17			rna-XM_040177086.1			
N3.HOG0000281	OG0000036	n20			rna-XM_040191319.1			
N3.HOG0000282	OG0000036	n25			rna-XM_040190974.1			
N3.HOG0000283	OG0000037	n1			rna-XM_040201815.1, rna-XM_040202179.1, rna-XM_040201995.1			
N3.HOG0000284	OG0000037	n6			rna-XM_040201809.1, rna-XM_040202214.1			
N3.HOG0000285	OG0000037	n8			rna-XM_040202224.1, rna-XM_040202173.1, rna-XM_040202174.1, rna-XM_040202177.1, rna-XM_040202180.1, rna-XM_040202178.1, rna-XM_040202185.1, rna-XM_040202181.1, rna-XM_040202176.1, rna-XM_040202010.1, rna-XM_040202277.1, rna-XM_040201956.1, rna-XM_040202128.1, rna-XM_040201972.1, rna-XM_040201993.1, rna-XM_040201973.1, rna-XM_040202215.1, rna-XM_040202031.1, rna-XM_040202105.1, rna-XM_040201550.1			
N3.HOG0000286	OG0000038	n1			rna-XM_040193374.1			
N3.HOG0000287	OG0000038	n9			rna-XM_040193232.1			
N3.HOG0000288	OG0000038	n13			rna-XM_040204899.1			
N3.HOG0000289	OG0000038	n17			rna-XM_040192848.1			
N3.HOG0000290	OG0000038	n21			rna-XM_040160115.1			
N3.HOG0000291	OG0000038	n24			rna-XM_040192418.1			
N3.HOG0000292	OG0000039	n1			rna-XM_040183461.1			
N3.HOG0000293	OG0000039	n5			rna-XM_040171085.1			
N3.HOG0000294	OG0000039	n11			rna-XM_040183914.1			
N3.HOG0000295	OG0000039	n14			rna-XM_040170912.1			
N3.HOG0000296	OG0000039	n18			rna-XM_040187026.1			
N3.HOG0000297	OG0000039	n21			rna-XM_040191294.1			
N3.HOG0000298	OG0000039	n24			rna-XM_040194908.1			
N3.HOG0000299	OG0000040	n1			rna-XM_040173842.1			
N3.HOG0000300	OG0000040	n6			rna-XM_040180751.1			
N3.HOG0000301	OG0000040	n10			rna-XM_040174714.1			
N3.HOG0000302	OG0000040	n17			rna-XM_040177253.1			
N3.HOG0000303	OG0000040	n20			rna-XM_040178811.1			
N3.HOG0000304	OG0000040	n24			rna-XM_040196486.1			
N3.HOG0000305	OG0000041	n1			rna-XM_040192775.1			
N3.HOG0000306	OG0000041	n7			rna-XM_040192776.1			
N3.HOG0000307	OG0000041	n13			rna-XM_040192769.1			
N3.HOG0000308	OG0000041	n18			rna-XM_040205102.1			
N3.HOG0000309	OG0000041	n21			rna-XM_040205099.1			
N3.HOG0000310	OG0000041	n24			rna-XM_040195413.1			
N3.HOG0000311	OG0000042	n0			rna-XM_040169903.1, rna-XM_040202219.1, rna-XM_040202220.1, rna-XM_040201780.1, rna-XM_040192177.1, rna-XM_040202229.1, rna-XM_040202028.1, rna-XM_040170156.1, rna-XM_040202221.1, rna-XM_040202348.1, rna-XM_040202213.1, rna-XM_040202343.1, rna-XM_040202225.1, rna-XM_040202227.1, rna-XM_040201783.1, rna-XM_040201784.1, rna-XM_040201789.1, rna-XM_040201782.1, rna-XM_040201787.1, rna-XM_040202228.1, rna-XM_040201791.1, rna-XM_040201781.1, rna-XM_040202226.1, rna-XM_040201779.1, rna-XM_040201788.1, rna-XM_040202345.1, rna-XM_040202346.1, rna-XM_040202362.1			
N3.HOG0000312	OG0000043	n1			rna-XM_040184192.1			
N3.HOG0000313	OG0000043	n5			rna-XM_040170843.1			
N3.HOG0000314	OG0000043	n10			rna-XM_040169402.1			
N3.HOG0000315	OG0000043	n14			rna-XM_040190151.1			
N3.HOG0000316	OG0000043	n18			rna-XM_040196944.1			
N3.HOG0000317	OG0000043	n23			rna-XM_040194807.1			
N3.HOG0000318	OG0000044	n1			rna-XM_040186055.1			
N3.HOG0000319	OG0000044	n6			rna-XM_040180455.1			
N3.HOG0000320	OG0000044	n11			rna-XM_040176301.1			
N3.HOG0000321	OG0000044	n15			rna-XM_040189900.1			
N3.HOG0000322	OG0000044	n19			rna-XM_040198078.1			
N3.HOG0000323	OG0000044	n22			rna-XM_040196760.1			
N3.HOG0000324	OG0000045	n1			rna-XM_040186383.1			
N3.HOG0000325	OG0000045	n5			rna-XM_040182603.1			
