ChrGa	Start	End	GeneGa	GeneGw	ChrGw	Start	End	NCBI_gene	Ensemble_ID	Ensemble_Human_ID	HIindex	Strata Group
NC_053230.1	7815172	7818692	rna-XM_040161950.1	g10916.t1	chr19	12871025	12872592	120808786	ENSGACG00000033238	ENSG00000128595	0.817693239	S3	1n
NC_053230.1	7819031	7827067	rna-XM_040161966.1	g10915.t1	chr19	12867868	12869171	120808794	ENSGACG00000031723	ENSG00000155115	0.068112623	S3	1n-2n
NC_053230.1	7860884	7881907	rna-XM_040161959.1	g10911.t1	chr19	12820791	12824702	120808792	ENSGACG00000023943	ENSG00000065809	0.323333805	S3	1n-2n
NC_053230.1	7898607	7929551	rna-XM_040161910.1	g10909.t1	chr19	12767803	12783501	120808768	ENSGACG00000026593	ENSG00000198822	0.737632108	S3	2n
NC_053230.1	8012320	8040857	rna-XM_040161919.1	g10906.t1	chr19	12644832	12662143	120808774	ENSGACG00000029839	ENSG00000075213	0.980040576	S3	2n
NC_053230.1	8052464	8069126	rna-XM_040161927.1	g10905.t2	chr19	12615362	12632384	120808776	ENSGACG00000029025	ENSG00000170381	0.36164343	S3	1n-2n
NC_053230.1	8184604	8199673	rna-XM_040161930.1	g10901.t1	chr19	12482185	12496151	120808778	ENSGACG00000033967	ENSG00000019991	0.997497848	S3	2n
NC_053230.1	8229188	8234251	rna-XM_040161934.1	g10900.t1	chr19	12448570	12450567	120808780	ENSGACG00000029950	ENSG00000128594	0.462195654	S3	2n
NC_053230.1	8322857	8328956	rna-XM_040161929.1	g10898.t2	chr19	12349890	12355466	120808777	ENSGACG00000012612	ENSG00000106344	0.205634761	S3	1n-2n
NC_053230.1	8341270	8348269	rna-XM_040161931.1	g10895.t1	chr19	12331007	12336219	120808779	ENSGACG00000027587	ENSG00000106348	0.465124322	S3	1n-2n
NC_053230.1	8398267	8440253	rna-XM_040161887.1	g10892.t1	chr19	12235026	12273857	120808763	ENSGACG00000012555	ENSG00000151474	0.388201473	S3	1n-2n
NC_053230.1	8467389	8474364	rna-XM_040161936.1	g10887.t1	chr19	12193123	12198975	120808781	ENSGACG00000032343	ENSG00000171208	0.331302683	S3	1n-2n
NC_053230.1	8479571	8483560	rna-XM_040161964.1	g10885.t1	chr19	12184702	12187061	120808793	ENSGACG00000032515	ENSG00000004059	0.286286485	S3	2n
NC_053230.1	8493234	8591211	rna-XM_040162507.1	g10882.t1	chr19	12068871	12164080	120809023	ENSGACG00000030184	ENSG00000251322	0.05921282	S3	2n
NC_053230.1	8627614	8639864	rna-XM_040162069.1	g10881.t1	chr19	12026721	12030012	120808848	ENSGACG00000012412	ENSG00000100299	0.046995067	S3	1n-2n
NC_053230.1	8639860	8655651	rna-XM_040162823.1	g10880.t1	chr19	12001056	12023697	120809182	ENSGACG00000025679	ENSG00000008735	0.058785144	S3	1n-2n
NC_053230.1	8692478	8698560	rna-XM_040162043.1	g10875.t1	chr19	11957641	11964700	120808835	ENSGACG00000012349	ENSG00000100288	0.058859608	S3	1n
NC_053230.1	8698971	8702287	rna-XM_040162042.1	g10874.t1	chr19	11953597	11956043	120808834	ENSGACG00000037299	ENSG00000185271	0.057222671	S3	1n
NC_053230.1	8702390	8709241	rna-XM_040162040.1	g10873.t1	chr19	11946797	11951703	120808833	ENSGACG00000012306	ENSG00000205560	0.130470073	S3	1n
NC_053230.1	8709240	8715607	rna-XM_040162049.1	g10872.t1	chr19	11942631	11945350	120808837	ENSGACG00000012282	ENSG00000086475	0.356854762	S3	1n
NC_053230.1	8716113	8720847	rna-XM_040162044.1	g10871.t2	chr19	11936325	11939826	120808836	ENSGACG00000012275	ENSG00000165626	0.19658774	S3	2n
NC_053230.1	8721643	8728166	rna-XM_040162053.1	g10869.t1	chr19	11922423	11928670	120808838	ENSGACG00000012232	ENSG00000165630	0.459000545	S3	2n
NC_053230.1	8776715	8815159	rna-XM_040163785.1	g10867.t1	chr19	11864301	11872523	120809750	ENSGACG00000037799	ENSG00000178573	0.560781937	S3	2n
NC_053230.1	8923847	8941393	rna-XM_040163778.1	g10865.t2	chr19	11705859	11719146	120809748	ENSGACG00000027046	ENSG00000102908	0.969739497	S3	2n
NC_053230.1	8948029	8951186	rna-XM_040163364.1	g10862.t2	chr19	11692133	11694869	120809518	ENSGACG00000032626	ENSG00000103035	0.771403981	S3	2n
NC_053230.1	9018637	9041669	rna-XM_040163967.1	g10857.t1	chr19	11601179	11621571	120809849	ENSGACG00000012079	ENSG00000060237	0.318010561	S3	2n
NC_053230.1	9049293	9056364	rna-XM_040164015.1	g10855.t1	chr19	11586468	11591117	120809867	ENSGACG00000037964	ENSG00000186654	0.038142723	S3	1n-2n
NC_053230.1	9056964	9058828	rna-XM_040164050.1	g10854.t1	chr19	11583756	11584160	120809884	ENSGACG00000037401	ENSG00000135211	0.563915086	S3	2n
NC_053230.1	9102973	9117026	rna-XM_040163989.1	g10849.t1	chr19	11523175	11535433	120809853	ENSGACG00000011996	ENSG00000170456	0.071759002	S3	2n
NC_053230.1	9131126	9189156	rna-XM_040163968.1	g10845.t8	chr19	11451757	11505436	120809850	ENSGACG00000031465	ENSG00000187391	0.938878681	S3	1n-2n
NC_053230.1	9208304	9214282	rna-XM_040164026.1	g10843.t1	chr19	11426516	11428650	120809871	ENSGACG00000029988	ENSG00000181072	0.60586757	S3	1n-2n
NC_053230.1	9239044	9247239	rna-XM_040164049.1	g10841.t1	chr19	11399945	11405464	120809883	ENSGACG00000029326	ENSG00000186591	0.984259716	S3	2n
NC_053230.1	9294185	9298251	rna-XM_040164052.1	g10836.t2	chr19	11346046	11347539	120809885	ENSGACG00000033719	ENSG00000151135	0.655539282	S3	2n
NC_053230.1	9305853	9315371	rna-XM_040164004.1	g10834.t1	chr19	11328302	11335452	120809861	ENSGACG00000011833	ENSG00000111785	0.726509199	S3	2n
NC_053230.1	9316540	9334150	rna-XM_040163993.1	g10833.t2	chr19	11311826	11325925	120809857	ENSGACG00000011830	ENSG00000111783	0.438763799	S3	2n
NC_053230.1	9334744	9353034	rna-XM_040163990.1	g10831.t1	chr19	11291100	11308827	120809854	ENSGACG00000036224	ENSG00000013503	0.649364009	S3	2n
NC_053230.1	9381922	9391544	rna-XM_040163995.1	g10828.t1	chr19	11236647	11245059	120809858	ENSGACG00000030921	ENSG00000179520	0.25209169	S3	2n
NC_053230.1	9394511	9402341	rna-XM_040164007.1	g10827.t1	chr19	11222368	11230429	120809864	ENSGACG00000011745	ENSG00000012504	0.596899751	S3	2n
NC_053230.1	9420244	9434833	rna-XM_040163986.1	g10823.t1	chr19	11190535	11204355	120809852	ENSGACG00000025844	ENSG00000102189	0.669678145	S3	1n
NC_053230.1	9437179	9447430	rna-XM_040163618.1	g10822.t1	chr19	11177817	11187567	120809650	ENSGACG00000011708	ENSG00000187510	0.06024962	S3	1n
NC_053230.1	9449724	9491692	rna-XM_040162322.1	g10821.t2	chr19	11132642	11173434	120808946	ENSGACG00000030063	ENSG00000123104	0.196454921	S3	2n
NC_053230.1	9518322	9524773	rna-XM_040162438.1	g10817.t1	chr19	11097424	11101902	120808991	ENSGACG00000011661	ENSG00000133703	0.998658451	S3	2n
NC_053230.1	9734591	9741361	rna-XM_040162004.1	g10812.t1	chr19	10889229	10893950	120808811	ENSGACG00000035188	ENSG00000103264	0.078582661	S3	2n
NC_053230.1	9743968	9753668	rna-XM_040161994.1	g10811.t1	chr19	10876892	10885235	120808809	ENSGACG00000011591	ENSG00000140525	0.35466511	S3	1n-2n
NC_053230.1	9789881	9792259	rna-XM_040163748.1	g10807.t1	chr19	10837763	10838851	120809727	ENSGACG00000038031	ENSG00000183208	0.017741784	S3	1n-2n
NC_053230.1	9801202	9803176	rna-XM_040163264.1	g10805.t1	chr19	10826314	10827886	120809449	ENSGACG00000011538	ENSG00000185043	0.298732006	S3	1n-2n
NC_053230.1	9814251	9827087	rna-XM_040163254.1	g10802.t1	chr19	10803836	10813337	120809442	ENSGACG00000011484	ENSG00000196547	0.094772345	S3	2n
NC_053230.1	9903631	9910310	rna-XM_040163571.1	g10798.t1	chr19	10718012	10722068	120809626	ENSGACG00000011465	ENSG00000166349	0.350447534	S3	1n
NC_053230.1	9910660	9913970	rna-XM_040163573.1	g10797.t1	chr19	10714263	10715858	120809627	ENSGACG00000011461	ENSG00000175097	0.88907455	S3	1n-2n
NC_053230.1	10102664	10138316	rna-XM_040163195.1	g10796.t1	chr19	10508653	10510593	120809407	ENSGACG00000035733	ENSG00000148948	0.959628837	S3	2n
NC_053230.1	10282385	10304194	rna-XM_040163172.1	g10794.t1	chr19	10267250	10289239	120809398	ENSGACG00000011437	ENSG00000110435	0.779810523	S3	1n
NC_053230.1	10321398	10334910	rna-XM_040161684.1	g10792.t1	chr19	10235942	10247960	120808655	ENSGACG00000011397	ENSG00000110436	0.616211318	S3	2n
NC_053230.1	10354328	10371181	rna-XM_040163508.1	g10791.t1	chr19	10201904	10217967	120809592	ENSGACG00000011389	ENSG00000149090	0.192838188	S3	1n-2n
NC_053230.1	10383039	10385394	rna-XM_040163544.1	g10790.t1	chr19	10188487	10189734	120809608	ENSGACG00000011388	ENSG00000179431	0.146718246	S3	2n
NC_053230.1	10552053	10557516	rna-XM_040162734.1	g10786.t1	chr19	10008262	10012843	120809125	ENSGACG00000011372	ENSG00000185507	0.021937375	S3	1n
NC_053230.1	10574545	10601673	rna-XM_040163275.1	g10784.t1	chr19	9984972	9990506	120809457	ENSGACG00000011348	ENSG00000099849	0.010020008	S3	2n
NC_053230.1	10604790	10612500	rna-XM_040162135.1	g10783.t1	chr19	9953845	9960632	120808876	ENSGACG00000011344	ENSG00000161328	0.005161521	S3	1n-2n
NC_053230.1	10780197	10819000	rna-XM_040162340.1	g10778.t1	chr19	9749730	9786093	120808957	ENSGACG00000011253	ENSG00000166016	0.266367943	S3	2n
NC_053230.1	10930585	10936585	rna-XM_040163607.1	g10776.t1	chr19	9626579	9631268	120809643	ENSGACG00000033428	ENSG00000151117	0.127494807	S3	2n
NC_053230.1	10937619	10942219	rna-XM_040162491.1	g10775.t1	chr19	9621448	9624958	120809012	ENSGACG00000035166	ENSG00000179119	0.136144641	S3	1n-2n
NC_053230.1	10942476	10948152	rna-XM_040162494.1	g10774.t1	chr19	9616039	9620553	120809013	ENSGACG00000011188	ENSG00000151116	0.271134724	S3	2n
NC_053230.1	10988740	11003881	rna-XM_040162980.1	g10772.t2	chr19	9578824	9589552	120809282	ENSGACG00000011141	ENSG00000110090	0.081912568	S3	2n
NC_053230.1	11127114	11133619	rna-XM_040163499.1	g10768.t1	chr19	9436403	9441983	120809587	ENSGACG00000011104	ENSG00000180176	0.769890184	S3	1n
NC_053230.1	11143294	11150970	rna-XM_040163026.1	g10767.t1	chr19	9419524	9425441	120809316	ENSGACG00000030062	ENSG00000205531	0.037177789	S3	1n-2n
NC_053230.1	11261422	11273512	rna-XM_040163180.1	g10761.t1	chr19	9268193	9273483	120809403	ENSGACG00000031332	ENSG00000110786	0.266849949	S3	2n
NC_053230.1	11361049	11363386	rna-XM_040161983.1	g10758.t1	chr19	9166977	9168140	120808800	ENSGACG00000026786	ENSG00000187486	0.881087233	S3	2n
NC_053230.1	11364276	11401366	rna-XM_040161968.1	g10757.t3	chr19	9128368	9165739	120808796	ENSGACG00000025215	ENSG00000006071	0.967482639	S3	2n
NC_053230.1	11402164	11417605	rna-XM_040161979.1	g10754.t1	chr19	9111346	9118811	120808798	ENSGACG00000011004	ENSG00000006611	0.375960269	S3	1n
NC_053230.1	11418049	11422682	rna-XM_040161981.1	g10753.t1	chr19	9106283	9110115	120808799	ENSGACG00000010988	ENSG00000120647	0.055296478	S3	1n
NC_053230.1	11434861	11438188	rna-XM_040163216.1	g10749.t1	chr19	9091498	9094871	120809419	ENSGACG00000010960	ENSG00000188991	0.05347796	S3	1n
NC_053230.1	11452698	11461140	rna-XM_040162617.1	NA	NA	NA	NA	120809060	ENSGACG00000010936	ENSG00000166716	0.112890515	S3	1n-2n
NC_053230.1	11469471	11481450	rna-XM_040162615.1	g10971.t1	chr19	14128096	14138609	120809059	ENSGACG00000010898	ENSG00000136383	0.009711296	S3	2n
NC_053230.1	11491038	11532320	rna-XM_040162082.1	g10969.t1	chr19	14081307	14117143	120808856	ENSGACG00000016444	ENSG00000171877	0.656565794	S3	2n
NC_053230.1	11599801	11608287	rna-XM_040162476.1	g10965.t1	chr19	14001380	14009235	120809001	ENSGACG00000010827	ENSG00000182054	0.549372556	S3	2n
NC_053230.1	11641639	11682019	rna-XM_040163467.1	g10962.t1	chr19	13929057	13945107	120809569	ENSGACG00000010807	ENSG00000185033	0.024731681	S3	1n
NC_053230.1	11730581	11734421	rna-XM_040163737.1	g10958.t1	chr19	13873979	13877293	120809720	ENSGACG00000035159	ENSG00000166821	0.118184603	S3	1n
NC_053230.1	11808662	11817309	rna-XM_040161562.1	g10954.t1	chr19	13796285	13803185	100174898	ENSGACG00000010746	ENSG00000140557	0.471581284	S3	1n
NC_053230.1	11872729	11901200	rna-XM_040161619.1	g10997.t2	chr19	14696482	14712633	120808614	ENSGACG00000010734	ENSG00000169918	0.076054445	S3	2n
NC_053230.1	11926067	11934062	rna-XM_040163184.1	g10994.t1	chr19	14658244	14665451	120809406	ENSGACG00000010705	ENSG00000140299	0.513767778	S3	1n-2n
NC_053230.1	11996853	12004540	rna-XM_040163163.1	g10991.t1	chr19	14586962	14594126	120809394	ENSGACG00000010682	ENSG00000128915	0.426274466	S3	1n-2n
NC_053230.1	12309874	12315533	rna-XM_040162531.1	g10983.t1	chr19	14263954	14269400	120809029	ENSGACG00000010509	ENSG00000140386	0.365657343	S3	2n
NC_053230.1	12322713	12373358	rna-XM_040162545.1	g10981.t1	chr19	14205880	14256059	120809032	ENSGACG00000010509	ENSG00000140386	0.365657343	S3	1n-2n
NC_053230.1	12373309	12377100	rna-XM_040162553.1	g10980.t2	chr19	14202865	14205900	120809035	ENSGACG00000010496	ENSG00000117906	0.465144351	S3	1n-2n
NC_053230.1	12377104	12382820	rna-XM_040162550.1	g10979.t1	chr19	14196786	14201816	120809034	ENSGACG00000037794	ENSG00000140368	0.112552381	S3	2n
NC_053230.1	12426656	12429917	rna-XM_040162179.1	g11002.t2	chr19	14771646	14775054	120808897	ENSGACG00000024763	ENSG00000140403	0.073657596	S3	1n-2n
NC_053230.1	12432203	12437557	rna-XM_040162180.1	g11003.t1	chr19	14780143	14783987	120808898	ENSGACG00000024763	ENSG00000140403	0.073657596	S3	1n
NC_053230.1	12455348	12467361	rna-XM_040162499.1	g11007.t2	chr19	14802953	14813329	120809016	ENSGACG00000010224	ENSG00000167202	0.031600795	S3	1n-2n
NC_053230.1	12467479	12480762	rna-XM_040162500.1	g11008.t1	chr19	14816107	14828234	120809017	ENSGACG00000010201	ENSG00000035664	0.301329146	S3	1n
NC_053230.1	12528113	12534563	rna-XM_040162583.1	g11012.t2	chr19	14877493	14881512	120809045	ENSGACG00000033118	ENSG00000120798	0.389203095	S1	2n
NC_053230.1	12707642	12713325	rna-XM_040163546.1	g11021.t1	chr19	15063157	15064473	120809610	ENSGACG00000026136	ENSG00000172209	0.561990199	S1	1n
NC_053230.1	12820773	12836685	rna-XM_040162316.1	g11024.t1	chr19	15169435	15184198	120808944	ENSGACG00000010024	ENSG00000139154	0.45522852	S1	1n
NC_053230.1	12906862	12918905	rna-XM_040163614.1	g11026.t1	chr19	15256493	15267563	120809647	ENSGACG00000010007	ENSG00000139151	0.037940053	S1	1n
NC_053230.1	12936864	13016504	rna-XM_040162761.1	g11030.t2	chr19	15286834	15365341	120809133	ENSGACG00000009959	ENSG00000189056	0.98955323	S1	1n
